title,rating,price,fan_rpm,noise_level,color,radiator_size
Fractal Design Celsius+ S36 Prisma PWM ARGB,5.0,$351.99,500 - 2000 RPM,32.7 dB,Black,360 mm
Asus ROG RYUO III 240 ARGB WHITE EDITION,None,$139.99,2200 RPM,36.45 dB,White,240 mm
Asus ROG STRIX LC III,None,$219.99,800 - 2200 RPM,36 dB,Black,360 mm
ARCTIC Freezer 34 eSports DUO,4.5,None,200 - 2100 RPM,24.4 dB,Black / Gray,None
ID-COOLING PINKFLOW,4.5,None,900 - 2000 RPM,16.3 - 33.5 dB,White / Pink,240 mm
Asus ROG STRIX LC III ARGB,None,$235.19,800 - 2200 RPM,36 dB,White,360 mm
TRYX PANORAMA ARGB,5.0,$309.99,500 - 1850 RPM,27.86 dB,White,240 mm
EK AIO 120 D-RGB,4.0,$79.00,450 - 2600 RPM,36.4 dB,Black,120 mm
Thermaltake TH280 V2 ARGB Sync,None,$109.99,500 - 1800 RPM,25.8 dB,Green,280 mm
EK AIO Elite 360 D-RGB,4.5,None,550 - 2200 RPM,31.6 dB,Black,360 mm
Cooler Master MasterLiquid 360 Core II,None,$99.99,600 - 1750 RPM,30 dB,White,360 mm
Phanteks Glacier One 360 T30 Gen2,None,None,1200 - 3000 RPM,11.1 - 39.7 dB,Black / Gray,360 mm
Alpenf\xc3\xb6hn Panorama 2,None,None,500 - 3000 RPM,37.6 dB,Black,None
Corsair iCUE H150i ELITE LCD,4.5,None,450 - 2000 RPM,10 - 30.4 dB,Black,360 mm
Deepcool LS720 WH,4.5,None,500 - 2250 RPM,32.9 dB,White,360 mm
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,5.0,None,800 - 1900 RPM,32 dB,Black / Silver,240 mm
be quiet! Pure Loop 2,None,$132.34,None,15.4 - 33.8 dB,Black,280 mm
Jonsbo CR-1000,4.5,None,700 - 1800 RPM,20.55 - 37.2 dB,Black,None
MSI MAG CORELIQUID E240 WHITE,5.0,$91.99,None,None,White,240 mm
EK AIO Basic 240,4.5,None,550 - 2200 RPM,33.5 dB,Black,240 mm
Cooler Master MasterLiquid 360 Ion,None,$249.99,None,30 dB,Black,360 mm
Scythe Fuma 2 Rev.B,4.5,None,300 - 1500 RPM,2.58 - 23.8 dB,Black / Silver,None
Fractal Design Lumen S36 V2,None,$196.03,500 - 2000 RPM,10 - 33.2 dB,Black,360 mm
MSI MAG CORELIQUID I240,None,$104.99,None,None,Black,240 mm
Thermalright Burst Assassin 120 Vision,5.0,$63.99,1500 RPM,25.6 dB,White,None
be quiet! Silent Loop 2 280,4.0,None,1600 RPM,16.5 - 36.1 dB,Black,280 mm
Thermaltake TH280 V2 ARGB Sync,4.0,$109.99,500 - 1800 RPM,34.7 dB,Black,280 mm
Yeston zeaginal Sakura,None,None,900 - 1800 RPM,30 dB,White,360 mm
Thermalright Assassin Spirit 120 Vision ARGB,None,$29.59,1500 RPM,25.6 dB,White,None
Thermalright Burst Assassin ARGB,5.0,$22.90,1550 RPM,25.6 dB,Black / Silver,None
Thermalright Burst Assassin,5.0,$21.59,1550 RPM,25.6 dB,Gray / Black,None
Alphacool Eisbaer Pro Aurora,None,$214.95,None,31.5 dB,Black,420 mm
Deepcool LS520,5.0,None,500 - 2250 RPM,32.9 dB,Black,240 mm
Ocypus Iota A40,None,$34.99,500 - 2000 RPM,29 dB,Black,None
Deepcool CASTLE 240EX A-RGB,4.0,None,500 - 1800 RPM,30 dB,Black,240 mm
ID-COOLING FROZN A620 ARGB,2.0,None,500 - 2000 RPM,29.9 dB,Black,None
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,4.5,None,800 - 1900 RPM,32 dB,White / Silver,360 mm
Thermalright Elite Vision 360 ARGB,None,None,2150 RPM,27 dB,Black,360 mm
Thermalright Royal Pretor 130 BLACK,4.0,$49.69,1750 RPM,28.3 dB,Black,None
Lian Li Galahad II Lite RGB,None,$97.99,300 - 2500 RPM,34.8 dB,Black,240 mm
Thermaltake CL-P0503,3.5,$12.95,2900 RPM,29.58 dB,None,None
Cooler Master i50,4.0,$16.98,2000 RPM,28 dB,Black / Silver,None
Cougar Poseidon Elite ARGB 360,None,None,500 - 2200 RPM,33.5 dB,Black,360 mm
Deepcool LT520 WH,4.0,None,500 - 2250 RPM,32.9 dB,White,240 mm
ENDORFY Navis F240,None,$124.63,250 - 1800 RPM,None,Black,240 mm
be quiet! Light Loop,None,$144.90,1500 - 2900 RPM,15.4 - 34.9 dB,White,240 mm
Thermalright Frozen Notte ARGB V2,5.0,None,2000 RPM,27.7 dB,White,360 mm
Cooler Master Hyper 612 APEX,None,$64.98,None,30 dB,Black,None
EK EK-Nucleus AIO CR360 Lux D-RGB,4.5,None,550 - 2300 RPM,36 dB,White,360 mm
Deepcool CASTLE 360EX A-RGB,4.0,None,500 - 1800 RPM,30 dB,Black,360 mm
Thermaltake ASTRIA 600 ARGB,None,$59.99,500 - 1800 RPM,26.8 dB,Black,None
NZXT Kraken Z53 RGB,4.0,$254.99,500 - 1500 RPM,22 - 33 dB,White / Black,240 mm
Gelid Solutions BlackFrore,None,None,900 - 2000 RPM,20 dB,Black,None
Deepcool AG620 WH ARGB,None,None,300 - 1850 RPM,29.4 dB,White,None
Corsair iCUE H115i ELITE CAPELLIX,4.0,None,2000 RPM,10 - 36 dB,Black,280 mm
Thermalright Assassin King 90,None,$25.90,2500 RPM,27.3 dB,Black / Silver,None
Montech METAL DT24 PREMIUM,4.5,$69.00,800 - 1950 RPM,26 dB,Black / Silver,None
ENDORFY Fera 5 ARGB,None,$34.50,250 - 1800 RPM,None,Black / Silver,None
Scythe Kotetsu Mark 3,5.0,$29.99,300 - 1500 RPM,4 - 28.6 dB,Black / Silver,None
Deepcool GAMMAXX L240 V2,4.5,None,500 - 1800 RPM,30 dB,Black / White,240 mm
Thermaltake TH240 V2 Ultra ARGB Sync,4.0,$148.99,500 - 1800 RPM,25.8 dB,White,240 mm
EVGA CLCx 360,4.0,$305.00,None,35 dB,Black,360 mm
NZXT Kraken X73 RGB,4.0,Out of stock$199.99,500 - 1500 RPM,22 - 33 dB,Black,360 mm
Corsair H110i,4.0,None,2100 RPM,43 dB,None,280 mm
KOLINK Umbra EX180 Black Edition,None,$52.84,800 - 1800 RPM,28.6 dB,Black,None
Corsair H80i v2,4.0,$195.00,2435 RPM,37.7 dB,None,120 mm
NZXT Kraken X53 RGB,4.0,Out of stock$135.98,500 - 1500 RPM,22 - 33 dB,Black,240 mm
Cooler Master MasterLiquid ML280 Mirror,5.0,None,650 - 1400 RPM,10 - 27 dB,Black,280 mm
Lian Li Galahad II LCD,None,$387.02,300 - 1550 RPM,26.7 dB,Black,280 mm
Cooler Master MasterLiquid ML360R RGB,4.0,None,650 - 2000 RPM,6 - 34 dB,Black,360 mm
Enermax LIQMAXFLO 420,5.0,$109.90,500 - 1700 RPM,25.47 dB,Black,420 mm
MSI MAG CORELIQUID P360,4.5,None,500 - 2000 RPM,14.3 - 34.3 dB,Black,360 mm
ID-COOLING BLITZ X4,None,$19.98,500 - 1500 RPM,26.6 dB,Black / Silver,None
MSI MAG CORELIQUID A15,None,$89.99,500 - 2050 RPM,28.7 dB,Black,240 mm
Corsair iCUE H115i RGB ELITE,5.0,None,400 - 1600 RPM,19 - 35.8 dB,Black,280 mm
Thermalright Peerless Assassin 120 Digital ARGB,None,None,1850 RPM,25.6 dB,Black,None
Valkyrie Vind 125 SL,None,$51.49,800 - 2150 RPM,29 dB,Black,None
Corsair H115i PRO,4.5,None,1200 RPM,20.4 dB,None,280 mm
Cooler Master Hyper H410R RGB,3.0,None,600 - 2000 RPM,6 - 29 dB,None,None
Cooler Master Hyper 212 LED Turbo ARGB,4.0,$92.44,650 - 1800 RPM,27 dB,Black,None
Deepcool GAMMAXX GTE V2,4.5,None,500 - 1650 RPM,27.8 dB,Black / White,None
Cooler Master MasterLiquid 240 Core II,None,$84.99,600 - 1750 RPM,30 dB,White,240 mm
IceGiant ProSiphon Elite,4.0,None,300 - 2300 RPM,None,Black,None
ARCTIC Liquid Freezer 360,None,None,500 - 1350 RPM,22.5 dB,None,360 mm
Lian Li Galahad II Trinity,None,$203.83,2450 RPM,35.4 dB,White,240 mm
Thermalright Frozen Warframe PRO,None,None,2000 RPM,29.8 dB,Black,360 mm
be quiet! Light Loop,None,$139.90,1500 - 2900 RPM,15.4 - 34.9 dB,Black,240 mm
Thermaltake ASTRIA 400 ARGB,None,$44.99,500 - 1800 RPM,26.8 dB,Black,None
Enermax LIQMAXFLO SR 360,5.0,None,500 - 1800 RPM,23.46 dB,Black,360 mm
Cooler Master MasterAir MA620M,4.5,$150.90,650 - 2000 RPM,8 - 30 dB,Black,None
Asus ROG Ryujin III,None,$184.99,600 - 2200 RPM,36.45 dB,White,240 mm
Asus ROG STRIX LC III ARGB LCD,None,Out of stock$314.99,800 - 2200 RPM,36 dB,White,360 mm
GameMax Sigma 550 Infinity,None,None,800 - 1800 RPM,32.5 dB,Black,None
Deepcool LS520 SE WH,4.0,None,500 - 2250 RPM,28.2 - 32.9 dB,White,240 mm
Cougar Poseidon Elite ARGB 240,None,$153.19,500 - 2200 RPM,33.5 dB,Black,240 mm
ID-COOLING FROSTFLOW X 240 LITE,4.5,None,700 - 1800 RPM,15.2 - 35.2 dB,Black,240 mm
Jonsbo CR-1400 EVO Color Black,5.0,$27.50,800 - 2200 RPM,22.3 - 33.8 dB,Black,None
MSI MAG CORELIQUID C360,5.0,None,500 - 2000 RPM,14.3 - 34.3 dB,Black,360 mm
Noctua NH-U9B SE2,4.5,None,1000 - 1600 RPM,7.9 - 17.6 dB,None,None
Ocypus Iota L36,None,$129.99,500 - 2000 RPM,29 dB,White,360 mm
ID-COOLING SL240,None,$139.99,500 - 2000 RPM,29.9 dB,Black,240 mm
Corsair H115i,4.5,None,2000 RPM,40 dB,None,280 mm
MSI MAG CORELIQUID C240,4.0,None,500 - 2000 RPM,14.3 - 34.3 dB,Black,240 mm
EK AIO Basic 360,4.5,None,550 - 2200 RPM,33.5 dB,Black,360 mm
Fractal Design Lumen S28 V2,4.0,$226.08,500 - 1700 RPM,10 - 35.5 dB,Black,280 mm
ID-COOLING IS-40-XT,None,$26.99,800 - 2800 RPM,14 - 35.2 dB,Black,None
Thermaltake TH360 ARGB Sync,None,None,1500 RPM,28.2 dB,Black,360 mm
Enermax LIQMAX III 240 ARGB,None,$48.90,500 - 1600 RPM,14 - 27 dB,White / Black,240 mm
PC Cooler RZ400 V2,None,$28.99,500 - 2200 RPM,32 dB,Black,None
Thermaltake CLP0556,4.0,$19.98,1900 - 2300 RPM,22 dB,None,None
Deepcool AK500,5.0,None,500 - 1850 RPM,None,Black / Silver,None
Thermaltake TOUGHLIQUID 420 EX Pro ARGB Sync,None,None,500 - 2000 RPM,31.6 dB,Black,420 mm
ARCTIC Liquid Freezer II 240 A-RGB,4.5,None,200 - 1800 RPM,22.5 dB,Black / Gray,240 mm
Alphacool Core Ocean T38,None,$93.50,None,0 - 36 dB,Black,420 mm
Ocypus Delta A40 ARGB,None,$22.99,500 - 2000 RPM,29 dB,Black,None
Fractal Design Lumen S24 V2,4.5,None,500 - 2000 RPM,10 - 33.2 dB,Black,240 mm
ENDORFY Fera 5 Black,None,$33.50,250 - 1800 RPM,None,Black,None
Corsair A500,3.5,$104.99,2400 RPM,36 dB,Black / Silver,None
Deepcool LD240,None,None,600 - 2400 RPM,38.71 dB,Black,240 mm
ID-COOLING DX360 MAX,None,$89.99,None,32.5 dB,Black,360 mm
Thermaltake TOUGHAIR 110,None,$27.99,500 - 2000 RPM,23.6 dB,Black / Silver,None
Cooler Master MasterLiquid ML240 Illusion,4.0,$145.94,650 - 1800 RPM,6 - 30 dB,Black,240 mm
Noctua NH-D15 SE-AM4,5.0,$205.40,1200 - 1500 RPM,19.2 - 24.6 dB,None,None
Zalman CNPS9X Performa ARGB,5.0,$29.95,700 - 1800 RPM,28 dB,Black,None
ENDORFY Fortis 5 Black ARGB,None,None,None,None,Black,None
BitFenix Cube ARGB,None,None,2000 RPM,34 dB,White,360 mm
EVGA CLC 240,4.0,None,500 - 2400 RPM,16 - 39.9 dB,None,240 mm
ID-COOLING SE-224-XTS ARGB,5.0,None,600 - 1500 RPM,28.9 dB,Black,None
ID-COOLING SE-207-XT SLIM,5.0,$39.99,700 - 1800 RPM,15.2 - 35.2 dB,None,None
Asus TUF GAMING LC 240 ARGB,4.5,None,800 - 2000 RPM,29 dB,Black,240 mm
Thermaltake TOUGHAIR 310,None,$39.99,500 - 2000 RPM,23.6 dB,Black / Gray,None
Thermalright Hyper Vision UB ARGB,None,$132.90,2150 RPM,27 dB,White,360 mm
FSP Group MP7,None,$54.99,800 - 1800 RPM,32 dB,Black,None
Silverstone IceMyst 360,5.0,$155.41,500 - 2200 RPM,12.1 - 33.1 dB,Silver / Black,360 mm
Gigabyte AORUS WATERFORCE X II 240AORUS WATERFORCE X II 240,None,$199.99,800 - 2400 RPM,12 - 37.5 dB,Black,240 mm
TRYX PANORAMA,None,$299.99,500 - 2250 RPM,30.97 dB,Black,240 mm
Thermalright Assassin King 120 MINI V2,5.0,None,1500 RPM,25.6 dB,Black / Silver,None
Thermalright Aqua Elite ARGB,None,None,1550 RPM,25.6 dB,White,240 mm
Cooler Master MasterAir MA612 Stealth ARGB,5.0,$122.17,650 - 1800 RPM,8 - 27 dB,None,None
MSI MPG CORELIQUID K360 V2,None,None,None,39.9 dB,Black,360 mm
ARCTIC Freezer A35 A-RGB,4.5,$46.82,200 - 1700 RPM,None,Black,None
be quiet! Pure Rock Slim,4.5,$74.00,2000 RPM,13.1 - 25.4 dB,None,None
Corsair iCUE H170i ELITE LCD,4.5,None,400 - 1600 RPM,10 - 31.8 dB,Black,420 mm
Corsair H55,5.0,None,1500 RPM,18 - 26.5 dB,Black,120 mm
Thermaltake Gravity A2,None,$19.98,1200 - 3500 RPM,33.5 dB,Silver / Black,None
Thermaltake TH120 ARGB Sync,4.0,$49.99,1500 RPM,28.2 dB,White,120 mm
ID-COOLING DASHFLOW BASIC,4.0,None,700 - 1800 RPM,15.2 - 35.2 dB,Black,360 mm
Asus ROG RYUJIN III 360 ARGB EVA-02 EDITION,5.0,None,600 - 2200 RPM,36.45 dB,Red / Black,360 mm
NZXT Kraken X72,4.5,None,500 - 2000 RPM,21 - 36 dB,Black,360 mm
Antec VORTEX 240,3.5,$119.95,600 - 2000 RPM,31.24 dB,Black,240 mm
Thermaltake TH420 V2 ARGB Sync,None,$109.99,500 - 1800 RPM,34.7 dB,Black,420 mm
be quiet! Shadow Rock Slim 2,5.0,$47.90,1400 RPM,11.5 - 23.7 dB,Black,None
ID-COOLING DASHFLOW 240 BASIC,4.0,None,700 - 1800 RPM,15.2 - 35.2 dB,Black,240 mm
Thermalright Frost Commander 140,5.0,$48.90,1800 RPM,30.2 dB,Gray,None
TRYX PANORAMA ARGB,None,$309.99,500 - 1850 RPM,27.86 dB,Black,240 mm
Antec A400i,None,$40.13,800 - 1800 RPM,20 - 36 dB,Black / Silver,None
Cooler Master Wraith Ripper,4.5,None,None,0 - 38 dB,Black,None
Noctua NH-U12DXi4,4.5,$94.95,300 - 1500 RPM,18.6 - 22.4 dB,None,None
Thermalright Frozen Notte ARGB V2,4.5,None,2000 RPM,27.7 dB,Black,240 mm
Asus ROG RYUJIN 360,4.5,None,450 - 2000 RPM,29.7 dB,Black,360 mm
Xilence I250PWM,None,$50.00,800 - 2500 RPM,17.6 - 26.4 dB,Red / Black,None
Gelid Solutions Liquid 240,None,$84.95,750 - 1800 RPM,29.6 dB,Black,240 mm
Deepcool ASSASSIN III,4.5,None,400 - 1400 RPM,34.2 dB,Black / Silver,None
Asus ROG RYUJIN II,5.0,None,450 - 2000 RPM,29.7 dB,Black,360 mm
Thermalright Assassin King 120,5.0,None,1500 RPM,25.6 dB,Black / Silver,None
Vetroo V360,None,$74.98,800 - 1800 RPM,30.8 dB,Pink,360 mm
Valkyrie SYN,None,$159.90,800 - 2150 RPM,29 dB,White / Blue,360 mm
Enermax ETS-F40-FS,4.0,$29.99,300 - 1200 RPM,10 - 23 dB,White,None
NZXT Kraken Z63 RGB,4.0,Out of stock$249.99,500 - 1500 RPM,22 - 33 dB,White / Black,280 mm
ENDORFY Fera 5 Black ARGB,None,None,250 - 1800 RPM,None,Black,None
be quiet! Dark Rock Pro TR4,4.5,$252.00,1200 - 1500 RPM,12.8 - 24.3 dB,Black,None
Alphacool Core Ocean T38,None,$67.50,None,0 - 34.3 dB,Black,240 mm
ARCTIC Alpine 12 LP,4.0,None,100 - 2000 RPM,None,Black / White,None
Thermaltake TOUGHLIQUID Ultra RGB,None,$279.99,500 - 2000 RPM,30.7 dB,Black,420 mm
Asus ROG RYUJIN II,5.0,$252.10,450 - 2000 RPM,29.7 dB,Black,240 mm
Zalman CNPS4X,None,None,800 - 2000 RPM,29 dB,Black,None
MSI MAG CORELIQUID 240R V2,4.0,$119.99,500 - 2000 RPM,14.3 - 34.3 dB,White,240 mm
Cooler Master Hyper 212 LED,4.5,$47.80,600 - 1600 RPM,9 - 31 dB,None,None
Phanteks Glacier One 240MPH,5.0,None,500 - 2200 RPM,18 - 34.2 dB,White / Black,240 mm
ARCTIC Freezer 7 Pro Rev.2,4.5,None,900 - 2500 RPM,None,None,None
ID-COOLING SE-226-XT,4.5,None,500 - 1500 RPM,13.8 - 30.5 dB,Black,None
Deepcool AK500 DIGITAL WH,None,None,500 - 1850 RPM,28 dB,White,None
be quiet! Pure Rock,4.5,None,1500 RPM,19.1 - 26.8 dB,None,None
Deepcool Castle 240 RGB V2,4.5,None,500 - 1800 RPM,30 dB,Black,240 mm
ID-COOLING IS-40X,4.0,$26.99,600 - 2500 RPM,14 - 33 dB,Black / White,None
Deepcool R-AN600-BKNNMN-G,4.0,None,500 - 1850 RPM,20 - 24.4 dB,Black / Silver,None
Fractal Design Celsius S36 Blackout,5.0,None,500 - 2000 RPM,32.2 dB,Black,360 mm
Alphacool Eisbaer Aurora 420,None,$189.95,600 - 1500 RPM,None,Black,420 mm
ID-COOLING ZOOMFLOW 240 XT SNOW,4.0,None,500 - 1500 RPM,13.8 - 30.5 dB,White,240 mm
EVGA CLCx 280,None,$245.20,None,35 dB,Black,280 mm
Cooler Master MasterLiquid ML240L RGB,4.0,None,650 - 2000 RPM,6 - 30 dB,None,240 mm
ARCTIC Liquid Freezer II 420 RGB,None,$271.68,200 - 1900 RPM,22.5 dB,Black,420 mm
Noctua NH-D9DX i4 3U,4.5,None,400 - 2000 RPM,16.3 - 22.8 dB,None,None
Gelid Solutions Tranquillo Rev. 5,None,None,900 - 2000 RPM,26.5 dB,Black,None
Thermaltake TH240 V2 ARGB Sync,None,$67.48,500 - 2000 RPM,25.8 dB,White,240 mm
Thermaltake TH240 V2 Ultra ARGB Sync,None,$135.99,500 - 1800 RPM,25.8 dB,Black,240 mm
Asus ROG STRIX LC II ARGB,5.0,$119.99,800 - 2500 RPM,37.6 dB,Black,240 mm
Cooler Master MasterLiquid ML240R RGB,4.0,None,650 - 2000 RPM,6 - 30 dB,None,240 mm
ENDORFY Navis F240 ARGB,None,$113.40,250 - 1800 RPM,None,Black,240 mm
Deepcool LE500,None,None,500 - 2250 RPM,None,Black,240 mm
be quiet! Pure Loop 2,None,$84.90,None,13 - 32.1 dB,Black,120 mm
EK AIO Elite 280 D-RGB,2.0,None,550 - 2200 RPM,36.4 dB,Black,280 mm
SilenX EFZ-80HA3,3.5,$28.41,2200 RPM,8 - 24 dB,None,None
Deepcool GAMMAXX GT A-RGB,4.5,None,500 - 1650 RPM,27.8 dB,Black / Silver,None
ID-COOLING ZOOMFLOW 360 XT SNOW,5.0,None,500 - 1500 RPM,13.8 - 30.5 dB,White,360 mm
Cooler Master Hyper H411R,4.0,None,600 - 2000 RPM,29.4 dB,Black / Silver,None
GAMDIAS BOREAS E1,None,$29.99,800 - 2000 RPM,10 - 31 dB,Black / Silver,None
ID-COOLING FX240 INF,None,$69.98,300 - 2000 RPM,27.2 dB,White,240 mm
Mars Gaming ML-ONE,None,None,600 - 1800 RPM,9 - 26 dB,Black,360 mm
Cooler Master MasterLiquid 240,4.0,None,650 - 2000 RPM,6 - 30 dB,None,240 mm
NZXT Kraken X62 Rev 2,4.5,None,500 - 1800 RPM,21 - 38 dB,None,280 mm
Thermalright AXP90-X36,None,None,2700 RPM,22.4 dB,Black,None
Thermaltake Floe DX RGB 360 TT Premium Edition,5.0,$221.29,500 - 1500 RPM,19 - 23.9 dB,Black / Gray,360 mm
Deepcool AG400 DIGITAL PLUS,4.0,None,500 - 2100 RPM,31.6 dB,Black,None
Thermaltake Contac Silent 12,4.5,$29.99,400 - 1500 RPM,22.1 - 28.8 dB,None,None
be quiet! Pure Loop 360,4.5,None,None,19.8 - 40.5 dB,Black,360 mm
Lian Li GALAHAD AIO 360 RGB,4.0,None,800 - 1900 RPM,None,Black / Silver,360 mm
Alphacool Core Ocean T38,None,$79.00,None,0 - 34.3 dB,Black,360 mm
Vetroo U6 Pro,4.5,None,700 - 1500 RPM,18.1 - 30.5 dB,Black,None
Cooler Master I70,None,None,1800 RPM,28 dB,Black / Silver,None
NZXT Kraken Z53 RGB,4.5,$254.99,500 - 1500 RPM,22 - 33 dB,Black,240 mm
ARCTIC Liquid Freezer II 120,4.5,None,200 - 1800 RPM,None,Black,120 mm
Lian Li GALAHAD AIO 240 RGB,4.5,None,800 - 1900 RPM,None,White / Silver,240 mm
MSI MPG CORELIQUID K240,3.5,$148.00,None,0 - 39.9 dB,Black,240 mm
Montech AIR COOLER 210,None,None,600 - 1500 RPM,27 dB,Black,None
Montech HyperFlow Silent 240,None,$69.90,800 - 2200 RPM,24.8 dB,White,240 mm
Thermaltake TH280 V2 Ultra ARGB Sync,5.0,$156.99,500 - 2000 RPM,34.7 dB,Black,280 mm
Alphacool Eisbaer Aurora 360,None,$264.99,800 - 2000 RPM,None,Black,360 mm
Aerocool Cylon 4,None,$65.20,800 - 1800 RPM,14 - 26 dB,Black,None
Alphacool Core Ocean T38,None,$56.00,None,0 - 34.3 dB,Black,120 mm
Thermalright Frozen Warframe,None,None,2000 RPM,22.1 dB,Black,360 mm
ID-COOLING FROZN A410 GDL,None,$39.99,500 - 2000 RPM,29.9 dB,Black / Gold,None
be quiet! Pure Loop 280,4.0,$289.80,None,22.5 - 38.1 dB,Black,280 mm
FSP Group Windale 4,None,None,600 - 1600 RPM,32 dB,Black / Silver,None
EK AIO 280 D-RGB,4.0,None,500 - 2000 RPM,36.4 dB,Black / Translucent White,280 mm
NZXT Kraken X63 RGB,4.0,Out of stock$166.99,500 - 1500 RPM,22 - 33 dB,White / Black,280 mm
Thermaltake Water 3.0 120 ARGB Sync,4.0,None,500 - 1500 RPM,25.8 dB,Black,120 mm
Intel BXXTS100H,3.5,None,800 - 1800 RPM,20 - 35 dB,None,None
Ocypus Delta A40 ARGB,None,$22.99,500 - 2000 RPM,29 dB,Black,None
Silverstone Hydrogon D120 ARGB V2,None,None,None,0 - 30.5 dB,Black / Silver,None
Gigabyte AORUS WATERFORCE 280,4.0,None,950 - 2150 RPM,17.1 - 36.5 dB,Black,280 mm
EK AIO 360 D-RGB,4.5,None,450 - 2600 RPM,36.4 dB,Black,360 mm
Cooler Master Hyper T20,None,None,2000 RPM,30 dB,Black / Silver,None
be quiet! Shadow Rock 3,5.0,None,None,11.5 - 24.4 dB,White / Black,None
Deepcool AK500S DIGITAL,None,None,500 - 1850 RPM,28 dB,White,None
KOLINK Umbra EX180,None,None,800 - 1800 RPM,28.6 dB,Black,None
Ocypus Iota A62,None,$65.98,500 - 2000 RPM,29 dB,White,None
MSI MAG CORELIQUID I240,None,$89.99,None,None,White,240 mm
Thermalright Elite Vision 360 ARGB,1.0,None,2150 RPM,27 dB,White,360 mm
Valkyrie Vind 125 SL,None,$51.49,800 - 2150 RPM,29 dB,White,None
Enermax Liqmax III 360 ARGB,4.0,None,500 - 1600 RPM,14 - 27 dB,Black,360 mm
Fractal Design Celsius+ S24 Prisma PWM ARGB,4.5,$146.05,500 - 2000 RPM,32.7 dB,Black,240 mm
Jonsbo CR-1000 EVO ARGB White,5.0,None,600 - 1500 RPM,22 - 32 dB,White,None
ID-COOLING FROZN A610 BLACK,None,None,500 - 2000 RPM,29.85 dB,Black,None
Thermalright Grand Vision ARGB,None,None,2150 RPM,29.4 dB,Black,240 mm
Thermalright Peerless Assassin 120 Digital ARGB,None,None,1850 RPM,25.6 dB,White,None
LC-Power LC-CC-120-RGB,None,None,800 - 1800 RPM,None,Black,None
Thermaltake Water 3.0 240 ARGB Sync,4.5,None,500 - 1500 RPM,25.8 dB,Black,240 mm
Geometric Future Eskimo Pro 42,None,$109.90,2400 RPM,34.2 dB,White,420 mm
ID-COOLING SE-214-XT,None,None,500 - 1500 RPM,16 - 26.6 dB,None,None
Thermaltake TOUGHAIR 510,4.0,$59.99,500 - 2000 RPM,23.6 dB,Black / Gray,None
MSI MEG CORELIQUID S280,5.0,$307.80,None,24.9 dB,Black,280 mm
Thermalright Frozen Warframe,None,None,2000 RPM,22.1 dB,Black,240 mm
Silverstone Krypton KR01,None,$35.99,800 - 3000 RPM,33 dB,Black / Silver,None
Cooler Master MasterLiquid ML120R RGB,4.5,None,650 - 2000 RPM,6 - 30 dB,None,120 mm
Cooler Master Hyper 212X,4.0,None,600 - 2000 RPM,9 - 36 dB,None,None
Cooler Master Masterliquid 240 Atmos,4.0,$123.99,690 - 2500 RPM,27.2 dB,White,240 mm
Scythe Shuriken 2,5.0,None,300 - 2500 RPM,1.8 - 23.2 dB,Black / Silver,None
Enermax Liqmax III 240 ARGB,4.5,None,500 - 1600 RPM,14 - 27 dB,Black,240 mm
Montech HyperFlow ARGB 240,None,$89.90,2200 RPM,29.1 dB,White,240 mm
Corsair iCUE H100i ELITE LCD,4.0,None,450 - 2000 RPM,10 - 30.4 dB,Black,240 mm
Deepcool UD511 RGB,None,None,500 - 1800 RPM,26.8 dB,Black,None
ENDORFY Navis F280,None,None,250 - 1800 RPM,None,Black,280 mm
Thermalright Core Matrix,None,None,2150 RPM,27 dB,Black,360 mm
Silverstone Hydrogon H90 ARGB,None,$63.99,500 - 2600 RPM,11.3 - 34.6 dB,Black / Silver,None
Xilence A402,None,None,600 - 2200 RPM,14 - 23.8 dB,Red / Black,None
iBuypower AW4,None,$99.99,700 - 2000 RPM,38 dB,White,360 mm
Thermalright Frozen Vision 360,5.0,None,2150 RPM,27 dB,White,360 mm
ID-COOLING FROSTFLOW 240L-W,4.0,None,800 - 2000 RPM,20 - 38.2 dB,None,240 mm
Thermaltake ASTRIA 600 ARGB,None,$66.99,500 - 1800 RPM,26.8 dB,White,None
Silverstone Krypton KR02,4.0,$34.53,800 - 2800 RPM,13.6 - 34.8 dB,Black / Silver,None
ID-COOLING SL240,4.0,$139.99,500 - 2000 RPM,29.9 dB,White,240 mm
Deepcool LS520 WH,4.5,None,500 - 2250 RPM,32.9 dB,White,240 mm
ARCTIC Liquid Freezer II 360 Rev. 2,5.0,None,200 - 1800 RPM,None,Black,360 mm
Silverstone IceMyst 420,None,$185.68,400 - 1750 RPM,13.3 - 30.8 dB,Silver / Black,420 mm
BitFenix Cube ARGB,None,$69.90,2000 RPM,34 dB,White,240 mm
Jonsbo HX4170D,None,None,600 - 3300 RPM,28.4 dB,Black,None
ARCTIC Freezer 4U-M,None,None,400 - 2300 RPM,40 dB,Black / Silver,None
ARCTIC Freezer i35 A-RGB,4.5,$40.10,200 - 1700 RPM,None,Black,None
Antec A30,4.5,None,1750 RPM,20 dB,None,None
be quiet! Pure Loop 240,4.5,None,None,19 - 39.5 dB,Black,240 mm
Deepcool LE500 Marrs,None,None,500 - 2250 RPM,32.9 dB,Black,240 mm
