title,rating,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,module_count,gb_per_module,total_ram
Kingston KVR16S11K2/16 16 GB,,84.98,DDR3-1600,2 x 8GB,5.311,Green,13.75 ns,11.0,2,8,16
Pareema MD316C81611S2 8 GB,,,DDR3-1600,2 x 4GB,,Green,13.75 ns,11.0,2,4,8
Pareema MD316D81611S2 16 GB,,,DDR3-1600,2 x 8GB,,Green,13.75 ns,11.0,2,8,16
Pareema MD313D81609S1 8 GB,,,DDR3-1333,1 x 8GB,,Green,13.503 ns,9.0,1,8,8
Pareema MD313D81609S2 16 GB,,,DDR3-1333,2 x 8GB,,Green,13.503 ns,9.0,2,8,16
Pareema MD316C81611S1 4 GB,,,DDR3-1600,1 x 4GB,,,13.75 ns,11.0,1,4,4
Pareema MD316D81611S1 8 GB,,,DDR3-1600,1 x 8GB,,Green,13.75 ns,11.0,1,8,8
Corsair ValueSelect 16 GB,,,DDR3-1600,2 x 8GB,,Green,11.25 ns,9.0,2,8,16
Corsair ValueSelect 8 GB,,,DDR3-1600,1 x 8GB,,Green,11.25 ns,9.0,1,8,8
Mushkin Blackline 8 GB,,,DDR3-1600,2 x 4GB,,Green,11.25 ns,9.0,2,4,8
Corsair Vengeance Performance 16 GB,,,DDR3-1866,2 x 8GB,,Black / Gold,10.718 ns,10.0,2,8,16
Wintec Value 8 GB,,,DDR3-1600,1 x 8GB,,,13.75 ns,11.0,1,8,8
Corsair CMSO8GX3M2A1600C11 8 GB,,,DDR3-1600,2 x 4GB,,Green,11.25 ns,9.0,2,4,8
Corsair CMSO4GX3M1A1600C11 4 GB,,32.98,DDR3-1600,1 x 4GB,8.245,Green,11.25 ns,9.0,1,4,4
Patriot Signature 4 GB,,,DDR3-1600,1 x 4GB,,Black,13.75 ns,11.0,1,4,4
Kingston KVR16N11H/2 2 GB,,,DDR3-1600,1 x 2GB,,Green,13.75 ns,11.0,1,2,2
Corsair CMSO4GX3M1B1333C9 4 GB,,,DDR3-1333,1 x 4GB,,Black,13.503 ns,9.0,1,4,4
Patriot Signature 4 GB,,,DDR3-1333,1 x 4GB,,Black,13.503 ns,9.0,1,4,4
