,title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,capacity_gb
86,Intel D3-S4610,,1495.00,7.68 TB,0.195,SSD,,"2.5""",SATA 6.0 Gb/s,7680.0
87,Crucial P310,,129.99,2 TB,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
88,Western Digital Black SN770,4.5,49.99,500 GB,0.100,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0
89,Kingston KC3000,4.5,93.99,1.024 TB,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1024.0
90,Silicon Power UD90,5.0,219.99,4 TB,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
91,Crucial T700,4.5,379.99,4 TB,0.095,SSD,,M.2-2280,M.2 PCIe 5.0 X4,4000.0
92,TEAMGROUP T-FORCE G50,5.0,57.99,1 TB,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
93,Samsung 970 Evo,4.5,159.00,1 TB,0.159,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4,1000.0
94,KingSpec XG7000,5.0,101.99,2 TB,0.051,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
95,Crucial T705,4.5,142.99,1 TB,0.143,SSD,,M.2-2280,M.2 PCIe 5.0 X4,1000.0
96,Western Digital Green SN350,4.5,62.99,1 TB,0.063,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
97,SK Hynix Platinum P41,4.5,77.98,1 TB,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
98,Patriot P400 Lite,5.0,104.99,2 TB,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
99,Lexar NM710,4.5,88.74,1 TB,0.089,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
100,Samsung 980,4.5,66.80,500 GB,0.134,SSD,,M.2-2280,M.2 PCIe 3.0 X4,500.0
101,Silicon Power P34A60,4.5,37.99,512 GB,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0
102,Crucial MX500,4.5,92.90,1 TB,0.093,SSD,1024 MB,"2.5""",SATA 6.0 Gb/s,1000.0
103,Patriot P300,5.0,54.99,1 TB,0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
104,Samsung 9100 PRO,,,8 TB,,SSD,8192 MB,M.2-2280,M.2 PCIe 5.0 X4,8000.0
105,Orico Y-20,,11.99,128 GB,0.094,SSD,,"2.5""",SATA 6.0 Gb/s,128.0
106,Samsung 860 Evo,4.5,125.00,1 TB,0.125,SSD,1024 MB,"2.5""",SATA 6.0 Gb/s,1000.0
107,Kingston A400,4.5,39.99,480 GB,0.083,SSD,,"2.5""",SATA 6.0 Gb/s,480.0
108,Kingston NV2,4.0,126.70,2 TB,0.063,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
109,Crucial P3,4.5,39.78,500 GB,0.080,SSD,,M.2-2280,M.2 PCIe 3.0 X4,500.0
110,Corsair MP700 PRO,5.0,219.99,2 TB,0.110,SSD,,M.2-2280,M.2 PCIe 5.0 X4,2000.0
111,Lexar NM790,4.5,249.99,4 TB,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
112,Crucial T500,4.5,84.54,1 TB,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
113,Intel Optane 905P,5.0,4500.00,1.5 TB,3.000,SSD,,"2.5""",U.2,1500.0
114,TEAMGROUP MP44L,4.5,34.99,500 GB,0.070,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0
115,Seagate SuperSpeed HDD,4.5,,1 TB,,Hybrid,64 MB,"2.5""",SATA 6.0 Gb/s,1000.0
116,Kingston NV3,4.5,42.98,500 GB,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0
117,Western Digital Blue SN580,,41.76,500 GB,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0
118,Crucial P3,4.5,127.48,2 TB,0.064,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
119,Timetec 35TTFP6PCIE,4.0,53.99,1 TB,0.054,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
120,Patriot P400 Lite,5.0,55.99,1 TB,0.056,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
121,Seagate BarraCuda,4.5,66.47,2 TB,0.033,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,2000.0
122,Crucial BX500,4.0,109.99,2 TB,0.055,SSD,,"2.5""",SATA 6.0 Gb/s,2000.0
123,Seagate Exos X24,,479.99,24 TB,0.020,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,24000.0
124,Sabrent Rocket 5,,711.32,4 TB,0.178,SSD,,M.2-2280,M.2 PCIe 5.0 X4,4000.0
125,KingSpec XG7000,5.0,195.99,4 TB,0.049,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
126,Mushkin Source HC,,,16 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,16000.0
127,TEAMGROUP MP33,4.5,106.99,2 TB,0.053,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
128,Western Digital Red Plus,,99.99,4 TB,0.025,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,4000.0
129,Corsair MP700 Elite,5.0,109.99,1 TB,0.110,SSD,,M.2-2280,M.2 PCIe 5.0 X4,1000.0
130,Western Digital WD_Black SN850X w/Heatsink,,629.99,8 TB,0.079,SSD,,M.2-2280,M.2 PCIe 4.0 X4,8000.0
131,Kingston A400,4.5,59.99,960 GB,0.062,SSD,,"2.5""",SATA 6.0 Gb/s,960.0
132,Kingston NV2,4.5,,500 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0
133,Lexar NM620,4.0,57.99,1 TB,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
134,Western Digital WD Blue SN5000,,62.99,1 TB,0.063,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
135,Corsair MP600 PRO XT,5.0,909.99,8 TB,0.114,SSD,,M.2-2280,M.2 PCIe 4.0 X4,8000.0
136,Seagate BarraCuda,4.5,39.99,1 TB,0.040,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,1000.0
137,Seagate IronWolf Pro,4.5,168.25,4 TB,0.042,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,4000.0
138,Kingston Fury Renegade,5.0,306.00,4 TB,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
139,Patriot Viper VP4300 Lite,4.0,114.99,2 TB,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
140,KIOXIA EXCERIA PLUS G3,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
141,Samsung 850 Evo,4.5,,250 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,250.0
142,Crucial T700,4.5,139.99,1 TB,0.140,SSD,,M.2-2280,M.2 PCIe 5.0 X4,1000.0
143,Crucial P5 Plus,4.5,147.99,1 TB,0.148,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,1000.0
144,PNY CS900,4.5,54.99,1 TB,0.055,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
145,Western Digital WD Green SN3000,,119.99,2 TB,0.060,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
146,Intel DC P3608,,,4 TB,,SSD,,PCIe,PCIe x8,4000.0
147,Western Digital WD_BLACK SN7100,,139.99,2 TB,0.070,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
148,ADATA Legend 800,4.0,66.98,1 TB,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
149,Patriot Burst Elite,,12.99,120 GB,0.108,SSD,,"2.5""",SATA 6.0 Gb/s,120.0
150,Western Digital WD Green SN3000,5.0,67.99,1 TB,0.068,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
151,Samsung 970 Evo Plus,4.5,74.98,250 GB,0.300,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,250.0
152,Lexar NM620,4.5,149.00,2 TB,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
153,Samsung 990 Pro w/Heatsink,5.0,109.43,1 TB,0.109,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,1000.0
154,Seagate Barracuda Compute,4.5,111.98,8 TB,0.014,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,8000.0
155,Samsung 860 Evo,4.5,93.43,500 GB,0.187,SSD,512 MB,"2.5""",SATA 6.0 Gb/s,500.0
156,Samsung 970 Evo,4.5,111.00,500 GB,0.222,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,500.0
157,Seagate IronWolf Pro,,293.00,16 TB,0.018,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,16000.0
158,Seagate IronWolf NAS,,99.99,4 TB,0.025,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,4000.0
159,Samsung 980 Pro w/Heatsink,4.5,131.99,1 TB,0.132,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,1000.0
160,Crucial P5 Plus,4.5,219.00,2 TB,0.109,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,2000.0
161,Seagate Surveillance HDD,,99.00,2 TB,0.050,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,2000.0
162,Crucial T705 W/Heatsink,5.0,409.99,4 TB,0.102,SSD,,M.2-2280,M.2 PCIe 5.0 X4,4000.0
163,Seagate IronWolf Pro NAS,5.0,359.99,20 TB,0.018,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,20000.0
164,Patriot P300,4.0,17.48,128 GB,0.137,SSD,,M.2-2280,M.2 PCIe 3.0 X4,128.0
165,Patriot P400 Lite,5.0,37.99,500 GB,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0
166,ADATA XPG SX8200 Pro,4.5,62.99,1 TB,0.063,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
167,Acer FA100,4.0,59.99,1 TB,0.060,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
168,Western Digital Caviar Blue,4.0,30.00,500 GB,0.060,7200 RPM,16 MB,"3.5""",SATA 6.0 Gb/s,500.0
169,MSI SPATIUM M450,4.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
170,Western Digital Blue,4.5,110.00,4 TB,0.028,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,4000.0
171,Leven JPS600,4.0,94.99,2 TB,0.047,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
172,Western Digital WD_BLACK SN7100,,79.98,1 TB,0.080,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
173,Western Digital WD_BLACK,4.5,161.99,4 TB,0.040,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,4000.0
174,TEAMGROUP T-Force Vulcan Z,4.5,33.99,512 GB,0.066,SSD,,"2.5""",SATA 6.0 Gb/s,512.0
175,Western Digital Blue SN580,5.0,32.99,250 GB,0.132,SSD,,M.2-2280,M.2 PCIe 4.0 X4,250.0
176,Corsair MP600 CORE XT,4.5,71.50,1 TB,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
177,TEAMGROUP QX,4.5,190.99,4 TB,0.048,SSD,,"2.5""",SATA 6.0 Gb/s,4000.0
178,MSI SPATIUM M480 PRO,5.0,154.99,2 TB,0.077,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,2000.0
179,MSI SPATIUM M482,5.0,136.99,2 TB,0.068,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
180,TEAMGROUP T-Force Vulcan Z,4.5,49.99,1 TB,0.050,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
181,Corsair MP600 CORE,,1298.00,4 TB,0.325,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
182,Gigabyte AORUS Gen4 7300,5.0,91.99,1 TB,0.092,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,1000.0
183,Crucial T500,5.0,309.99,4 TB,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
184,Seagate Barracuda Compute,4.5,64.98,2 TB,0.032,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,2000.0
185,Silicon Power A55,5.0,52.99,1 TB,0.053,SSD,,M.2-2280,M.2 SATA,1000.0
186,Timetec 35TTQNM2SATA,,26.99,512 GB,0.053,SSD,,M.2-2280,M.2 SATA,512.0
187,Crucial MX500,4.5,265.02,2 TB,0.133,SSD,2048 MB,"2.5""",SATA 6.0 Gb/s,2000.0
188,Silicon Power A55,4.5,50.97,1 TB,0.051,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
189,Western Digital Blue,4.5,141.47,1 TB,0.141,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
190,Gigabyte AORUS Gen4 7300,5.0,155.98,2 TB,0.078,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,2000.0
191,Samsung 9100 PRO w/Heatsink,,,8 TB,,SSD,8192 MB,M.2-2280,M.2 PCIe 5.0 X4,8000.0
192,Corsair MP600 PRO NH,,849.00,8 TB,0.106,SSD,,M.2-2280,M.2 PCIe 4.0 X4,8000.0
193,ADATA Legend 800,5.0,119.99,2 TB,0.060,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
194,Western Digital Red Pro,,499.99,24 TB,0.021,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,24000.0
195,KIOXIA EXCERIA PLUS G3,4.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
196,Western Digital Blue SN570,4.5,122.00,1 TB,0.122,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
197,Western Digital WD_Black SN850X w/Heatsink,5.0,179.99,2 TB,0.090,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
198,Western Digital Blue SN550,4.5,145.99,1 TB,0.146,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
199,Seagate SkyHawk AI,,439.99,24 TB,0.018,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,24000.0
200,Crucial MX500,4.5,86.80,500 GB,0.174,SSD,512 MB,"2.5""",SATA 6.0 Gb/s,500.0
201,Crucial BX500,4.0,23.47,240 GB,0.098,SSD,,"2.5""",SATA 6.0 Gb/s,240.0
202,TEAMGROUP MP33,4.0,26.99,256 GB,0.105,SSD,,M.2-2280,M.2 PCIe 3.0 X4,256.0
203,Seagate Exos X18,4.5,329.99,18 TB,0.018,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,18000.0
204,Crucial BX500,,227.98,4 TB,0.057,SSD,,"2.5""",SATA 6.0 Gb/s,4000.0
205,Western Digital Red Plus,5.0,172.00,8 TB,0.021,5640 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,8000.0
206,Samsung 850 Evo,4.5,,500 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,500.0
207,Silicon Power A55,4.5,32.95,512 GB,0.064,SSD,,"2.5""",SATA 6.0 Gb/s,512.0
208,Western Digital Red Plus,,199.99,10 TB,0.020,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,10000.0
209,KingSpec P3,3.5,49.99,1 TB,0.050,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
210,Corsair MP700 PRO SE,,549.99,4 TB,0.137,SSD,,M.2-2280,M.2 PCIe 5.0 X4,4000.0
211,Kingston NV3,,244.70,4 TB,0.061,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
212,Timetec 35TTQNM2SATA,,48.99,1 TB,0.049,SSD,,M.2-2280,M.2 SATA,1000.0
213,ADATA XPG GAMMIX S70 Blade,4.5,79.98,1 TB,0.080,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
214,PNY CS2150,5.0,94.99,1 TB,0.095,SSD,,M.2-2280,M.2 PCIe 5.0 X4,1000.0
215,Seagate Exos X20,,339.00,20 TB,0.017,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,20000.0
216,Western Digital Black SN750,4.5,102.99,1 TB,0.103,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
217,Kingston KC3000,,299.75,4.096 TB,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4096.0
218,ADATA XPG GAMMIX S70 Blade,4.5,129.99,2 TB,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
