title,rating,price,cpu_socket,form_factor,max_memory,memory_slots,color,max_memory_gb
Asus ROG STRIX B760-G GAMING WIFI D4,,,LGA1700,Micro ATX,128 GB,4,Silver / Black,128.0
Gigabyte GA-B250-HD3,4.0,,LGA1151,ATX,64 GB,4,Black / Gold,64.0
Asus PRIME A320M-E,,237.0,AM4,Micro ATX,64 GB,2,Black / Silver,64.0
Asus ROG STRIX B560-G GAMING WIFI,,,LGA1200,Micro ATX,128 GB,4,Black / Silver,128.0
ASRock Fatal1ty X99M Killer,5.0,,LGA2011-3,Micro ATX,64 GB,4,Black / Red,64.0
Asus Z170-P,4.5,,LGA1151,ATX,64 GB,4,Black / Gold,64.0
Asus ROG STRIX B450-E GAMING,4.5,,AM4,ATX,64 GB,4,Black,64.0
Asus TUF Z390-PLUS GAMING,,,LGA1151,ATX,128 GB,4,Black / Gold,128.0
ASRock B650M PG Riptide WiFi White,5.0,,AM5,Micro ATX,256 GB,4,White / Black,256.0
ASRock B760M-H/M.2,5.0,,LGA1700,Micro ATX,96 GB,2,Silver / Black,96.0
ASRock B560M Pro4,4.0,,LGA1200,Micro ATX,128 GB,4,Silver / Black,128.0
Gigabyte X570 AORUS PRO,4.5,,AM4,ATX,128 GB,4,Black / Silver,128.0
MSI Z87-G45 Gaming,4.5,,LGA1150,ATX,32 GB,4,Brown / Black,32.0
Asus H170-PRO,4.5,,LGA1151,ATX,64 GB,4,Black / Gold,64.0
Asus ROG MAXIMUS VIII HERO ALPHA,4.5,,LGA1151,ATX,64 GB,4,Black / Red,64.0
MSI B350M MORTAR,4.0,,AM4,Micro ATX,64 GB,4,Black / Red,64.0
MSI B360M MORTAR,4.0,,LGA1151,Micro ATX,64 GB,4,Black,64.0
MSI B360M PRO-VDH,4.0,,LGA1151,Micro ATX,64 GB,4,Black,64.0
MSI B450M BAZOOKA V2,4.5,,AM4,Micro ATX,64 GB,4,Black,64.0
MSI Creator TRX40,5.0,,sTRX4,EATX,256 GB,8,Black / Silver,256.0
Gigabyte B360M D3H,,,LGA1151,Micro ATX,64 GB,4,Silver / Black,64.0
Gigabyte GA-970A-DS3,4.0,,AM3+,ATX,32 GB,4,Blue / White,32.0
ASRock X370 Taichi,4.0,,AM4,ATX,64 GB,4,Black / White,64.0
ASRock X399 Taichi,5.0,,sTR4,ATX,128 GB,8,Black / Silver,128.0
Asus PRIME Z690M-PLUS D4,4.0,,LGA1700,Micro ATX,128 GB,4,Silver / Black,128.0
Gigabyte B650M H,,,AM5,Micro ATX,96 GB,2,Black / Gray,96.0
Gigabyte H810M S2H,,119.99,LGA1851,Micro ATX,128 GB,2,Gray / Black,128.0
Supermicro X9SRI-F-O,,700.0,LGA2011,ATX,64 GB,8,Green,64.0
Gigabyte B560M AORUS PRO AX,4.5,,LGA1200,Micro ATX,128 GB,4,Black / Silver,128.0
MSI X99A GODLIKE GAMING CARBON,4.5,,LGA2011-3,EATX,128 GB,8,Black / Silver,128.0
Asus Z87-Pro,4.5,,LGA1150,ATX,32 GB,4,Black / Gold,32.0
Asus Z170-E,4.5,,LGA1151,ATX,64 GB,4,Black / Silver,64.0
Gigabyte B560 HD3,,,LGA1200,ATX,128 GB,4,Black / Gray,128.0
ASRock B760 Pro RS WiFi,,,LGA1700,ATX,192 GB,4,Black / Silver,192.0
Gigabyte B760M GAMING DDR4,,,LGA1700,Micro ATX,64 GB,2,Black / Red,64.0
MSI H55M-E23,3.0,159.0,LGA1156,Micro ATX,8 GB,2,Black / Blue,8.0
Gigabyte Z390 M GAMING,4.0,,LGA1151,Micro ATX,128 GB,4,Black / Red,128.0
Asus TUF GAMING B450M-PRO S,4.0,,AM4,Micro ATX,128 GB,4,Black,128.0
Gigabyte B560M DS3H,4.0,,LGA1200,Micro ATX,128 GB,4,Black,128.0
ASRock B860M Lightning WiFi,,189.99,LGA1851,Micro ATX,256 GB,4,Black,256.0
ASRock Z690 Pro RS,4.0,,LGA1700,ATX,128 GB,4,Silver / Black,128.0
Asus H61M-C,4.0,,LGA1155,Micro ATX,16 GB,2,Black / Blue,16.0
MSI X99A GAMING PRO CARBON,4.0,,LGA2011-3,ATX,128 GB,8,Black / Silver,128.0
MSI B250M PRO-VD,4.0,,LGA1151,Micro ATX,32 GB,2,Brown / Black,32.0
Asus Prime B360-Plus,4.0,,LGA1151,ATX,64 GB,4,Black / Gray,64.0
Asus Z590 WIFI GUNDAM EDITION,5.0,,LGA1200,ATX,128 GB,4,Black / White,128.0
ASRock B660M Phantom Gaming 4,3.5,,LGA1700,Micro ATX,128 GB,4,Silver / Black,128.0
Gigabyte Z790M AORUS ELITE AX,,199.99,LGA1700,Micro ATX,192 GB,4,Black / Silver,192.0
ASRock B650M Pro X3D WiFi,,,AM5,Micro ATX,256 GB,4,Black / Silver,256.0
ASRock Z890 Taichi OCF,,473.99,LGA1851,ATX,128 GB,2,Black / Gold,128.0
ASRock H610M-HVS,,,LGA1700,Micro ATX,64 GB,2,Gray / Black,64.0
Gigabyte H410M S2H,4.0,,LGA1200,Micro ATX,64 GB,2,Black / Silver,64.0
MSI MEG Z490 UNIFY,5.0,,LGA1200,ATX,128 GB,4,Black / Silver,128.0
Asus PRIME Z790M-PLUS D4,5.0,,LGA1700,Micro ATX,128 GB,4,Black / Silver,128.0
Asus PRIME B650M-A AX,3.0,,AM5,Micro ATX,128 GB,4,Black / Silver,128.0
Gigabyte Z790 AORUS XTREME X,,,LGA1700,EATX,192 GB,4,Black,192.0
Gigabyte GA-X99M-GAMING 5,5.0,,LGA2011-3,Micro ATX,32 GB,4,Black / Red,32.0
MSI Z170A GAMING M7,4.5,,LGA1151,ATX,64 GB,4,Black / Red,64.0
MSI X470 GAMING PRO MAX,,,AM4,ATX,128 GB,4,Black / Silver,128.0
Gigabyte B365 M AORUS ELITE,4.5,,LGA1151,Micro ATX,64 GB,4,Black / Orange,64.0
Gigabyte Z490 VISION G,4.5,,LGA1200,ATX,128 GB,4,White / Black,128.0
ASRock X370 GAMING X,4.0,,AM4,ATX,64 GB,4,Black / Red,64.0
ASRock Z790 Taichi,4.5,,LGA1700,EATX,192 GB,4,Black / Gold,192.0
MSI MAG B460M MORTAR,4.0,295.33,LGA1200,Micro ATX,128 GB,4,Black / Silver,128.0
Asus Q87M-E/CSM,4.5,,LGA1150,Micro ATX,32 GB,4,Black / Gold,32.0
ASRock Z890 Taichi Lite,,382.99,LGA1851,ATX,256 GB,4,Silver / Black,256.0
ASRock B460M-HDV,3.5,,LGA1200,Micro ATX,64 GB,2,Black,64.0
Gigabyte Z390 DESIGNARE,5.0,435.0,LGA1151,ATX,128 GB,4,Black / Silver,128.0
NZXT N7 Z490,,229.99,LGA1200,ATX,128 GB,4,White / Black,128.0
ASRock Z790 PG-ITX/TB4,4.5,,LGA1700,Mini ITX,96 GB,2,Black,96.0
ASRock H610M-HDV/M.2,4.0,,LGA1700,Micro ATX,64 GB,2,Gray / Black,64.0
Gigabyte GA-AX370M-DS3H,4.0,,AM4,Micro ATX,64 GB,4,Black,64.0
MSI MPG B760I EDGE WIFI DDR4,,,LGA1700,Mini ITX,64 GB,2,Silver / Black,64.0
Biostar A520MHP,,,AM4,Micro ATX,64 GB,2,Black,64.0
MSI B450M BAZOOKA,4.0,,AM4,Micro ATX,64 GB,4,Black / Silver,64.0
Asus Prime Z590-P WiFi,4.5,,LGA1200,ATX,128 GB,4,Black / Silver,128.0
ASRock B550 Taichi Razer Edition,4.5,169.99,AM4,ATX,128 GB,4,Black / Silver,128.0
Asus ROG MAXIMUS XII FORMULA,5.0,654.0,LGA1200,ATX,128 GB,4,Black,128.0
Asus PRIME H610M-D D4,,141.76,LGA1700,Micro ATX,64 GB,2,Silver / Black,64.0
Asus Maximus VI Hero,4.5,,LGA1150,ATX,32 GB,4,,32.0
Asus Z97I-PLUS,4.5,,LGA1150,Mini ITX,16 GB,2,Black / Gold,16.0
Asus MAXIMUS VIII RANGER,4.5,548.88,LGA1151,ATX,64 GB,4,Black / Red,64.0
MSI Z270 GAMING M3,4.5,,LGA1151,ATX,64 GB,4,Black / Red,64.0
ASRock X399D8A-2T,,,sTR4,ATX,256 GB,8,Green / Blue,256.0
Asus X870 AYW GAMING WIFI W,,,AM5,ATX,256 GB,4,White / Silver,256.0
Gigabyte Z690 AORUS PRO,4.5,399.99,LGA1700,ATX,192 GB,4,Black,192.0
Asus PRIME A320I-K/CSM,,175.95,AM4,Mini ITX,32 GB,2,Black / Silver,32.0
MSI Z270 SLI PLUS,5.0,406.49,LGA1151,ATX,64 GB,4,Black / Silver,64.0
Gigabyte B460M DS3H,4.0,,LGA1200,Micro ATX,128 GB,4,Black / Silver,128.0
Asus ROG Strix Z370-H Gaming,4.5,,LGA1151,ATX,64 GB,4,Black / Red,64.0
ASRock X470 Master SLI/AC,4.5,,AM4,ATX,64 GB,4,Black / Silver,64.0
ASRock B365M Phantom Gaming 4,4.5,,LGA1151,Micro ATX,128 GB,4,Black / Red,128.0
Gigabyte Z390 D,,,LGA1151,ATX,128 GB,4,Black / Silver,128.0
MSI MEG Z490I UNIFY,4.5,,LGA1200,Mini ITX,64 GB,2,Black / Silver,64.0
Asus TUF GAMING B460-PLUS,,,LGA1200,ATX,128 GB,4,Black / Gold,128.0
ASRock B560M-HDV,4.0,,LGA1200,Micro ATX,64 GB,2,Silver / Black,64.0
MSI MEG B550 UNIFY-X,5.0,453.59,AM4,ATX,64 GB,2,Black,64.0
Asus ROG STRIX Z490-A GAMING,4.5,,LGA1200,ATX,128 GB,4,Black / Silver,128.0
Gigabyte Z690 AORUS ELITE DDR4,5.0,302.89,LGA1700,ATX,128 GB,4,Black / Silver,128.0
Asus PRIME B650M-A-CSM,,177.0,AM5,Micro ATX,128 GB,4,Silver / Black,128.0
MSI Z270 PC MATE,4.0,490.99,LGA1151,ATX,64 GB,4,Black / Silver,64.0
Gigabyte Z590 AORUS PRO AX,,426.99,LGA1200,ATX,128 GB,4,Black,128.0
Asus Z170-AR,4.5,361.98,LGA1151,ATX,64 GB,4,Black / White,64.0
Asus PRIME B650M-A,,,AM5,Micro ATX,128 GB,4,Silver / Black,128.0
MSI X99S SLI Plus,4.0,,LGA2011-3,ATX,128 GB,8,Black,128.0
ASRock X370 KILLER SLI/ac,4.5,,AM4,ATX,64 GB,4,Black / White,64.0
MSI A320M PRO-VH PLUS,5.0,,AM4,Micro ATX,32 GB,2,Brown / Black,32.0
MSI X470 GAMING PRO,4.5,,AM4,ATX,64 GB,4,Black / Red,64.0
Asus ROG STRIX B560-A GAMING WIFI,4.5,,LGA1200,ATX,128 GB,4,Black / Silver,128.0
MSI A320M PRO-VH,,,AM4,Micro ATX,64 GB,2,Brown / Black,64.0
MSI Z370 TOMAHAWK,4.5,,LGA1151,ATX,64 GB,4,Black / Gray,64.0
Biostar B550MX/E PRO,,,AM4,Micro ATX,128 GB,4,Black / Silver,128.0
Asus TUF GAMING B760M-PLUS,,,LGA1700,Micro ATX,192 GB,4,Black / Orange,192.0
Asus ROG STRIX B660-A GAMING WIFI,,,LGA1700,ATX,128 GB,4,Silver / Black,128.0
MSI MEG Z590 GODLIKE,,,LGA1200,EATX,128 GB,4,Black / Silver,128.0
MSI B150M BAZOOKA,4.0,,LGA1151,Micro ATX,64 GB,4,Black / White,64.0
Gigabyte B550M S2H,5.0,,AM4,Micro ATX,64 GB,2,Black / Silver,64.0
Asus M5A99FX PRO R2.0,4.5,,AM3+,ATX,32 GB,4,Black / Blue,32.0
Asus H97M-E,4.5,,LGA1150,Micro ATX,32 GB,4,Black / Gray,32.0
Asus ASUS B85M-E,3.0,,LGA1150,Micro ATX,32 GB,4,Black / Gold,32.0
Asus ROG STRIX Z270i GAMING,4.5,,LGA1151,Mini ITX,32 GB,2,Black / Silver,32.0
MSI B550M PRO,,,AM4,Micro ATX,64 GB,2,Black,64.0
MSI PRO H510M-B II,,,LGA1200,Micro ATX,64 GB,2,Black,64.0
Gigabyte B860 GAMING X WIFI6E,,179.99,LGA1851,ATX,256 GB,4,Silver / Black,256.0
Asus P8H61-M LX3 R2.0,3.0,,LGA1155,Micro ATX,16 GB,2,Black / Blue,16.0
ASRock B250M-HDV,4.5,,LGA1151,Micro ATX,32 GB,2,Black / White,32.0
Gigabyte X470 AORUS GAMING 7 WIFI,4.5,,AM4,ATX,64 GB,4,Black / Orange,64.0
ASRock H81M-VG4 R3.0,,,LGA1150,Micro ATX,16 GB,2,Black,16.0
Asus ProArt Z690-CREATOR WIFI,,689.0,LGA1700,ATX,192 GB,4,Black / Copper,192.0
ASRock B450M Pro4-F R2.0,,,AM4,Micro ATX,128 GB,4,Black,128.0
MSI X99A SLI PLUS,4.5,,LGA2011-3,ATX,128 GB,8,Black,128.0
Asus TUF B450-Pro Gaming,,,AM4,ATX,64 GB,4,Black,64.0
MSI MPG Z490M GAMING EDGE WIFI,4.5,,LGA1200,Micro ATX,128 GB,4,Black / Silver,128.0
Gigabyte B660M AORUS Pro AX DDR4,4.0,,LGA1700,Micro ATX,128 GB,4,Black,128.0
MSI MAG B760M MORTAR MAX WIFI DDR4,5.0,,LGA1700,Micro ATX,128 GB,4,Silver / Black,128.0
Asus ROG MAXIMUS XI FORMULA,4.5,589.0,LGA1151,ATX,128 GB,4,Black,128.0
MSI MPG Z690 EDGE WIFI,4.5,,LGA1700,ATX,192 GB,4,,192.0
ASRock 990FX Extreme9,4.5,,AM3+,ATX,64 GB,4,Black / Gold,64.0
MSI H110M Gaming,4.0,,LGA1151,Micro ATX,32 GB,2,Black / Red,32.0
MSI B250M PRO-VDH,4.5,,LGA1151,Micro ATX,64 GB,4,Brown / Black,64.0
ASRock Z370M Pro4,4.0,,LGA1151,Micro ATX,64 GB,4,Black / Silver,64.0
ASRock X570 Steel Legend WiFi ax,4.0,,AM4,ATX,128 GB,4,Black / Silver,128.0
MSI B365M-PRO-VH,5.0,,LGA1151,Micro ATX,32 GB,2,Black,32.0
Gigabyte X570S UD,4.5,,AM4,ATX,128 GB,4,Black / Gray,128.0
MSI PRO B550-P GEN3,,,AM4,ATX,128 GB,4,Brown / Black,128.0
Asus Pro Q670M-C-CSM,,199.99,LGA1700,Micro ATX,128 GB,4,Green / Black,128.0
Gigabyte Z690 AERO D,3.5,1008.09,LGA1700,EATX,192 GB,4,Black / Silver,192.0
ASRock Z590M Phantom Gaming 4,3.0,278.99,LGA1200,Micro ATX,128 GB,4,Silver / Black,128.0
MSI PRO B660M-E DDR4,3.0,,LGA1700,Micro ATX,64 GB,2,Black / Silver,64.0
Asus P8B75-M LX PLUS,4.0,,LGA1155,Micro ATX,16 GB,2,Black / Blue,16.0
Gigabyte GA-Z97-HD3,4.0,,LGA1150,ATX,32 GB,4,Black / Gold,32.0
Asus A68HM-Plus,5.0,,FM2+,Micro ATX,32 GB,2,Black,32.0
MSI B150 Gaming M3,4.5,,LGA1151,ATX,64 GB,4,Black / Red,64.0
Gigabyte GA-B250M-D3H,4.0,,LGA1151,Micro ATX,64 GB,4,Black / Gold,64.0
Gigabyte H410M S2 V3,,,LGA1200,Micro ATX,64 GB,2,Black / Gray,64.0
MSI MPG Z790 EDGE MONSTER HUNTER EDITION,,,LGA1700,ATX,256 GB,4,Black / Red,256.0
Gigabyte B650M C V3 (rev. 1.0),,,AM5,Micro ATX,192 GB,4,Black / Gray,192.0
Gigabyte B860M GAMING X WIFI6E,,169.99,LGA1851,Micro ATX,256 GB,4,Silver / Black,256.0
ASRock B860M Pro RS,,149.99,LGA1851,Micro ATX,256 GB,4,Silver / Black,256.0
Asus H81M-C/CSM,4.0,,LGA1150,Micro ATX,16 GB,2,Black / Gold,16.0
Gigabyte GA-Z170XP-SLI,4.0,,LGA1151,ATX,64 GB,4,Black / Red,64.0
MSI Z170A SLI PLUS,4.0,,LGA1151,ATX,64 GB,4,Black / Silver,64.0
ASRock A88M-G/3.1,4.5,,FM2+,Micro ATX,64 GB,4,Black / Red,64.0
MSI C236M WORKSTATION,,,LGA1151,Micro ATX,64 GB,4,Black / Silver,64.0
ASRock AB350M,4.0,,AM4,Micro ATX,32 GB,2,Black / White,32.0
Gigabyte X470 AORUS GAMING 5 WIFI,4.0,,AM4,ATX,64 GB,4,Black / Orange,64.0
Gigabyte X570S AORUS PRO AX,,,AM4,ATX,128 GB,4,Black / Gray,128.0
MAXSUN iCraft B760M CROSS,,,LGA1700,Micro ATX,192 GB,4,White / Pink,192.0
Gigabyte B760M AORUS ELITE AX DDR4,5.0,,LGA1700,Micro ATX,128 GB,4,Black / Silver,128.0
MSI Z170A KRAIT GAMING 3X,4.5,,LGA1151,ATX,64 GB,4,Black / White,64.0
Asus PRIME H270-PLUS-CSM,5.0,,LGA1151,ATX,64 GB,4,Black / Silver,64.0
Asus STRIX X299-E GAMING,4.0,,LGA2066,ATX,128 GB,8,Black,128.0
MSI Z370 GAMING M5,4.5,,LGA1151,ATX,64 GB,4,Black,64.0
Gigabyte B360 AORUS Gaming 3 WIFI,4.0,,LGA1151,ATX,64 GB,4,Black / Orange,64.0
Gigabyte H310M H,4.0,,LGA1151,Micro ATX,32 GB,2,Silver / Brown,32.0
Asus TUF Z390-PRO GAMING,5.0,,LGA1151,ATX,128 GB,4,Black / Gold,128.0
ASRock X570D4U-2L2T,,469.0,AM4,Micro ATX,128 GB,4,Green / Silver,128.0
Asus ROG Strix X399-E Gaming,4.5,,sTR4,EATX,128 GB,8,Black,128.0
MSI X370 XPOWER GAMING TITANIUM,4.0,549.08,AM4,ATX,64 GB,4,Silver,64.0
Asus H81M-PLUS,4.0,,LGA1150,Micro ATX,16 GB,2,Black / Gold,16.0
Asus Z170-K,5.0,,LGA1151,ATX,64 GB,4,Black / Gold,64.0
ASRock 970A-G/3.1,4.0,,AM3+/AM3,ATX,64 GB,4,Black / Red,64.0
Asus STRIX B250F GAMING,5.0,,LGA1151,ATX,64 GB,4,Black / Silver,64.0
Asus STRIX Z270H,4.0,,LGA1151,ATX,64 GB,4,Black / Silver,64.0
Gigabyte X570 AORUS XTREME,4.0,,AM4,EATX,128 GB,4,Black / Silver,128.0
ASRock A320M-DVS R4.0,3.0,,AM4,Micro ATX,32 GB,2,Black / Silver,32.0
MSI B760M GAMING PLUS WIFI DDR4,,,LGA1700,Micro ATX,128 GB,4,Black / Silver,128.0
EVGA Z590 DARK,,799.0,LGA1200,EATX,64 GB,2,Black,64.0
Biostar B650MP-E PRO,,,AM5,Micro ATX,192 GB,4,Black / Silver,192.0
ASRock H670M-ITX/ax,4.0,,LGA1700,Mini ITX,64 GB,2,Silver / Black,64.0
Asus P5Q-EM DO,4.0,,LGA775,Micro ATX,16 GB,4,Black / Yellow,16.0
ASRock C236 WSI,3.5,,LGA1151,Mini ITX,32 GB,2,Green / Blue,32.0
Asus ROG STRIX Z370-G GAMING (WI-FI AC),4.5,,LGA1151,Micro ATX,64 GB,4,Black / Silver,64.0
Gigabyte X399 AORUS PRO,5.0,,sTR4,ATX,128 GB,8,Black / Silver,128.0
Asus ROG Strix TRX40-E Gaming,5.0,,sTRX4,ATX,256 GB,8,Black,256.0
ASRock B365M PRO4-F,,,LGA1151,Micro ATX,64 GB,4,Black / Silver,64.0
Gigabyte Z890M AORUS ELITE WIFI7,,,LGA1851,Micro ATX,256 GB,4,Black,256.0
MSI MAG B660M MORTAR MAX WIFI DDR4,5.0,,LGA1700,Micro ATX,128 GB,4,Black / Silver,128.0
ASRock Z590 Pro4,4.0,,LGA1200,ATX,128 GB,4,Black / Silver,128.0
Asus ROG MAXIMUS Z690 EXTREME,4.0,,LGA1700,EATX,192 GB,4,,192.0
Gigabyte B560M AORUS ELITE,,,LGA1200,Micro ATX,128 GB,4,Black,128.0
Asus Sabertooth X79,4.5,,LGA2011,ATX,64 GB,8,Brown / Black,64.0
