title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,cache_gb,capacity_gb
MSI SPATIUM M390,4.0,,500 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,500.0
Gigabyte AORUS Gen4,4.5,149.0,1 TB,0.149,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Seagate Exos X24,,509.99,24 TB,,7200 RPM,512 MB,"3.5""",SAS 12.0 Gb/s,0.512,24000.0
ADATA SU800,4.5,53.99,256 GB,0.211,SSD,,"2.5""",SATA 6.0 Gb/s,,256.0
Patriot P220,,97.99,2 TB,0.049,SSD,,"2.5""",SATA 6.0 Gb/s,,2000.0
Mushkin Helix-L,,100.98,2 TB,0.05,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
TEAMGROUP T-Force Cardea Z540,5.0,139.99,1 TB,0.14,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,1000.0
Seagate FireCuda 530,5.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
MSI SPATIUM M470,4.5,149.99,1 TB,0.15,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
ADATA LEGEND 850 LITE,,72.98,1 TB,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
ADATA XPG SX8200 Pro,4.5,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
ADATA Ultimate SU650,3.0,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
Patriot Viper VP4300,5.0,64.99,1 TB,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
FanXiang S500 Pro,,25.99,256 GB,0.102,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
Hitachi Travelstar Z7K500,4.0,,500 GB,,7200 RPM,32 MB,"2.5""",SATA 6.0 Gb/s,0.032,500.0
Sabrent Rocket,4.5,,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
Kingston SSDNow KC400,5.0,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Lexar NM1090 w/ Heatsink,,259.49,2 TB,0.13,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,2000.0
PNY CS2241,,38.99,500 GB,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
Western Digital Red Pro,,297.0,12 TB,0.025,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,12000.0
Addlink S70,,34.99,512 GB,0.068,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
Seagate FireCuda 530R w/Heatsink,5.0,179.99,2 TB,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Corsair MP600 PRO NH,,99.99,1 TB,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
TEAMGROUP T-Force Z44A7Q,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Corsair MP600 PRO XT,5.0,369.99,4 TB,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4000.0
MSI SPATIUM M390,,79.95,1 TB,0.08,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Seagate Surveillance HDD,4.0,,2 TB,,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,2000.0
Lexar NM790 w/Heatsink,5.0,89.95,1 TB,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Seagate BarraCuda Pro,,377.45,14 TB,0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,14000.0
Addlink S70,5.0,59.44,1 TB,0.059,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Toshiba N300,,,4 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,4000.0
Seagate EXOS Enterprise,4.5,228.97,8 TB,0.029,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,8000.0
Intel P3700,,1850.0,1.6 TB,1.156,SSD,,PCIe,PCIe x4,,1600.0
Inland Platinum,,,4 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,4000.0
KingSpec NE-2280,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Western Digital RE4,4.0,65.0,1 TB,0.065,7200 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,0.064,1000.0
Corsair MP600 GS,,69.98,500 GB,0.14,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
Corsair MP600 PRO XT,5.0,104.99,1 TB,0.105,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Seagate Constellation ES.2,4.0,49.0,3 TB,0.016,7200 RPM,64 MB,"3.5""",SAS 6.0 Gb/s,0.064,3000.0
Leven JS600,,179.99,4 TB,0.045,SSD,,"2.5""",SATA 6.0 Gb/s,,4000.0
Integral M2,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Seagate ST1000DX001,4.5,80.0,1 TB,0.08,Hybrid,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,1000.0
Toshiba MQ01ABD-V,,35.5,1 TB,0.035,5400 RPM,,"2.5""",SATA 6.0 Gb/s,,1000.0
Western Digital Red SA500,,109.99,1 TB,0.11,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Seagate Barracuda Compute,4.0,65.68,1 TB,0.066,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,1000.0
HP FX700,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Toshiba MG09 512e,,325.0,18 TB,0.018,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,18000.0
Western Digital Blue Mobile,3.5,74.99,2 TB,0.037,5400 RPM,128 MB,"2.5""",SATA 6.0 Gb/s,0.128,2000.0
Western Digital Red SN700,4.0,351.52,4 TB,0.088,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,4000.0
Seagate IronWolf NAS,4.5,165.0,4 TB,0.041,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,4000.0
Intenso Top Performance,4.0,32.72,256 GB,0.128,SSD,,M.2-2280,M.2 SATA,,256.0
Seagate IronWolf Pro,5.0,299.0,8 TB,0.037,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,8000.0
ADATA XPG SX8200 Pro,4.5,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Seagate IronWolf Pro,3.0,,20 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,20000.0
Samsung PM961,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Lenovo S4520,,,3.84 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,3840.0
Lexar NQ100,,57.99,960 GB,0.06,SSD,,"2.5""",SATA 6.0 Gb/s,,960.0
Western Digital Red SN700,5.0,112.54,1 TB,0.113,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Lexar NS100,4.0,102.99,2 TB,0.051,SSD,,"2.5""",SATA 6.0 Gb/s,,2000.0
Seagate IronWolf Pro,4.0,234.45,6 TB,0.039,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,6000.0
Western Digital Gold,5.0,266.0,10 TB,0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,10000.0
Western Digital WD_BLACK,4.5,249.0,6 TB,0.042,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,6000.0
ADATA Legend 800,5.0,,500 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
Western Digital Blue,5.0,84.99,4 TB,0.021,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,4000.0
Gigabyte 4000E,,,500 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
Patriot Burst Elite,,51.99,960 GB,0.054,SSD,,"2.5""",SATA 6.0 Gb/s,,960.0
Hitachi Ultrastar SN260,,323.0,1.6 TB,0.202,SSD,,PCIe,PCIe x8,,1600.0
Western Digital Blue,4.5,64.99,2 TB,0.032,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,2000.0
Lexar NQ710,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
SK Hynix Gold S31 500,4.5,,500 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,500.0
Western Digital Green SN350,2.5,,240 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,240.0
TEAMGROUP T-Force Vulcan Z,4.0,185.99,4 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,4000.0
TEAMGROUP CX2,,21.99,256 GB,0.086,SSD,,"2.5""",SATA 6.0 Gb/s,,256.0
Kingston KC600,,183.79,2.048 TB,0.09,SSD,,"2.5""",SATA 6.0 Gb/s,,2048.0
Western Digital Red Plus,5.0,147.0,4 TB,0.037,5400 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,0.128,4000.0
Kingston Q500,4.0,68.98,960 GB,0.072,SSD,,"2.5""",SATA 6.0 Gb/s,,960.0
Seagate FireCuda,5.0,,4 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,4000.0
Western Digital Caviar Black,4.5,,1 TB,,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,1000.0
Klevv CRAS C710,,,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
TEAMGROUP T-Force GE PRO AirFlow,,399.99,4 TB,0.1,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,4000.0
Seagate ST3000VM002,5.0,,3 TB,,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,3000.0
Samsung 850 Pro,4.5,209.99,1 TB,0.21,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Toshiba P300,4.5,198.98,3 TB,0.066,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,3000.0
Seagate IronWolf NAS,5.0,249.99,14 TB,0.018,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,14000.0
TEAMGROUP Cardea A440,4.5,79.98,1 TB,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Orico J-10,,99.99,2 TB,0.05,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Inland Platinum,5.0,109.99,2 TB,0.055,SSD,,"2.5""",SATA 6.0 Gb/s,,2000.0
Seagate EE25.2,,22.0,40 GB,0.55,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,40.0
Western Digital Blue SN570,4.5,39.99,250 GB,0.16,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,250.0
Verbatim Vi550,,17.98,128 GB,0.14,SSD,,"2.5""",SATA 6.0 Gb/s,,128.0
Western Digital Blue,5.0,89.99,1 TB,0.09,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Western Digital Blue,4.5,34.99,500 GB,0.07,7200 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,0.032,500.0
SK Hynix Gold S31 1000,4.5,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Western Digital Red Plus,,89.99,3 TB,0.03,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,3000.0
Lexar NM790 w/Heatsink,,129.49,2 TB,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Klevv CRAS C715,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Seagate Barracuda Compute,4.0,89.99,3 TB,0.03,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,3000.0
Seagate IronWolf Pro NAS,,298.99,14 TB,0.021,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,14000.0
Orico Y-20,,52.24,1 TB,0.052,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Seagate EXOS Enterprise,4.5,,16 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,16000.0
HP EX900,4.0,42.99,500 GB,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,500.0
PNY CS1031,,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
Samsung 960 Pro,5.0,399.99,1 TB,0.4,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4,1.024,1000.0
Samsung 860 Evo,4.5,106.17,250 GB,0.425,SSD,512 MB,M.2-2280,M.2 SATA,0.512,250.0
Western Digital Red Plus,5.0,260.0,8 TB,0.033,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,8000.0
PNY CS2140,5.0,124.44,1 TB,0.124,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Western Digital Black PCIe,4.5,302.12,256 GB,1.18,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
Lexar Professional NM800PRO w/Heatsink,4.0,84.99,1 TB,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Gigabyte AORUS Gen4 5000E,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Seagate FireCuda 520,5.0,359.24,2 TB,0.18,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
ADATA XPG GAMMIX S70 Blade,,76.68,512 GB,0.15,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,512.0
Patriot P220,,54.99,1 TB,0.055,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
ADATA XPG SX6000 Pro,5.0,54.99,512 GB,0.107,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
Gigabyte GP-GSTFS31100TNTD,,84.24,1 TB,0.084,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Western Digital Caviar Green,4.0,,500 GB,,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,0.032,500.0
Western Digital Red,4.5,119.99,3 TB,0.04,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,3000.0
Intel DC S3610,,332.0,1.6 TB,0.207,SSD,,"2.5""",SATA 6.0 Gb/s,,1600.0
Intel Optane P1600X,5.0,,118 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,118.0
Lexar NM610PRO,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Western Digital Blue Mobile,4.5,49.63,1 TB,0.05,5400 RPM,128 MB,"2.5""",SATA 6.0 Gb/s,0.128,1000.0
Seagate IronWolf Pro NAS,,269.99,10 TB,0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,10000.0
Micron 7400 PRO,,749.99,3.84 TB,,SSD,,M.2-22110,M.2 PCIe 4.0 X4,,3840.0
Sabrent Rocket Q,4.5,415.26,2 TB,0.208,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Lexar NS100,,20.98,128 GB,0.164,SSD,,"2.5""",SATA 6.0 Gb/s,,128.0
Western Digital PC SN730,,149.99,1 TB,0.15,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Corsair MP600 PRO LPX,,369.99,4 TB,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4000.0
ADATA Ultimate SU650,,39.88,480 GB,0.083,SSD,,"2.5""",SATA 6.0 Gb/s,,480.0
Seagate IronWolf Pro,,,18 TB,,7200 RPM,,"3.5""",SATA 6.0 Gb/s,,18000.0
Corsair Force MP500,4.5,,120 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,120.0
Inland Premium,4.5,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Seagate Enterprise,,209.8,6 TB,0.035,7200 RPM,128 MB,"3.5""",SAS 12.0 Gb/s,0.128,6000.0
Western Digital Red Pro,,449.0,22 TB,0.02,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,22000.0
Mushkin Vortex Redline,,169.99,2 TB,0.085,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,1.024,2000.0
Integral V Series 2,,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Mushkin Helix-L,4.5,58.99,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Timetec 30TT253X2,,50.99,1 TB,0.051,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Seagate Exos X18,5.0,322.57,12 TB,0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,12000.0
Western Digital Red,4.5,254.99,8 TB,0.032,5400 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,0.128,8000.0
Intel D3-S4510,,1295.0,7.68 TB,0.169,SSD,,"2.5""",SATA 6.0 Gb/s,,7680.0
Apacer AS350 PANTHER,,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Kingston SSDNow V200,3.5,79.98,128 GB,0.625,SSD,,"2.5""",SATA 6.0 Gb/s,,128.0
ADATA SU800,4.5,,128 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,128.0
Corsair MP510,4.5,,960 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,960.0
MSI SPATIUM M371,,,500 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,500.0
Seagate SkyHawk AI,,234.99,14 TB,0.017,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,14000.0
Seagate FireCuda 530,5.0,,4 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4000.0
Lexar NM710,5.0,69.98,500 GB,0.14,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
Corsair MP600 ELITE PS5,,89.99,1 TB,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
TEAMGROUP T-Create Classic C47,,74.98,1 TB,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Western Digital Green,4.0,90.0,1 TB,0.09,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Western Digital Black,4.5,199.95,512 GB,0.391,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
Western Digital Red,4.5,,4 TB,,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,4000.0
FanXiang S101,,219.98,4 TB,0.055,SSD,,"2.5""",SATA 6.0 Gb/s,,4000.0
Seagate EXOS Enterprise,,122.88,4 TB,0.031,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,4000.0
Inland Professional,4.5,22.99,240 GB,0.096,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
Sabrent Rocket Q4,4.5,137.84,1 TB,0.138,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Corsair MP510,4.5,79.48,480 GB,0.166,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,480.0
Seagate Pipeline HD,3.5,,500 GB,,5900 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,0.008,500.0
PNY CS900,4.0,,240 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
ADATA Ultimate SU750,4.0,49.0,512 GB,0.096,SSD,,"2.5""",SATA 6.0 Gb/s,,512.0
Crucial P2,4.5,,250 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,250.0
Crucial MX500,4.5,79.98,500 GB,0.16,SSD,,M.2-2280,M.2 SATA,,500.0
Seagate BarraCuda 120,5.0,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Samsung Spinpoint M8,4.0,31.99,1 TB,0.032,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,1000.0
MSI SPATIUM S270,,34.97,480 GB,0.073,SSD,,"2.5""",SATA 6.0 Gb/s,,480.0
Inland Professional,4.5,59.99,1 TB,0.06,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Western Digital Blue,4.5,220.0,2 TB,0.11,SSD,,M.2-2280,M.2 SATA,,2000.0
Sabrent Rocket,5.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Kingston A400,4.0,,240 GB,,SSD,,M.2-2280,M.2 SATA,,240.0
Kingston Predator,,,480 GB,,SSD,,PCIe,PCIe x4,,480.0
Crucial MX300,4.5,159.99,275 GB,0.582,SSD,,"2.5""",SATA 6.0 Gb/s,,275.0
MSI SPATIUM M450,5.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Acer FA200,1.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
KingSpec XG7000 PRO,,118.99,2 TB,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Kingston FURY Renegade G5,,203.99,1.024 TB,0.199,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,1024.0
Western Digital Blue,4.5,67.73,3 TB,0.023,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,0.032,3000.0
Netac NV7000,,172.99,2 TB,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Western Digital Blue,4.0,62.25,1 TB,0.062,5400 RPM,16 MB,"2.5""",SATA 6.0 Gb/s,0.016,1000.0
Western Digital Blue SN500,4.5,,500 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X2,,500.0
FanXiang S101,2.0,33.99,512 GB,0.066,SSD,,"2.5""",SATA 6.0 Gb/s,,512.0
KingSpec NE-2280,5.0,,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
ADATA XPG GAMMIX S60 Blade,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Toshiba N300,,328.99,18 TB,0.018,7200 RPM,,"3.5""",SATA 6.0 Gb/s,,18000.0
Western Digital WDBSLA0040HNC-NRSN,4.5,109.0,4 TB,0.027,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,4000.0
Integral M3 Series Plus,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Western Digital Gold,,419.99,20 TB,0.021,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,20000.0
Toshiba HDKCC00,2.5,24.0,500 GB,0.048,7200 RPM,16 MB,"2.5""",SATA 6.0 Gb/s,0.016,500.0
TEAMGROUP Cardea Zero Z440 Graphene,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Samsung 860 Pro,5.0,283.35,1 TB,0.283,SSD,1024 MB,"2.5""",SATA 6.0 Gb/s,1.024,1000.0
Corsair MP400,4.5,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Western Digital Black AN1500,,,1 TB,,SSD,,PCIe,PCIe x8,,1000.0
Seagate IronWolf NAS,4.5,183.5,6 TB,0.031,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,6000.0
Western Digital Red,5.0,467.98,14 TB,0.033,5400 RPM,,"3.5""",SATA 6.0 Gb/s,,14000.0
GOODRAM CL100 gen.3,,,480 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,480.0
TEAMGROUP MP34,4.5,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Lexar NQ710,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Kingston Fury Renegade with Heat Sink,,73.98,500 GB,0.148,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
Intenso High Performance,5.0,63.72,960 GB,0.066,SSD,,"2.5""",SATA 6.0 Gb/s,,960.0
Western Digital Green,4.5,47.0,120 GB,0.392,SSD,,M.2-2280,M.2 SATA,,120.0
Western Digital WD_BLACK SN850P for PS5,5.0,199.99,2 TB,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Toshiba XG5,3.0,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
Toshiba P300,,122.53,4 TB,0.031,5400 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,0.128,4000.0
Seagate Exos X18,,280.99,10 TB,0.028,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,10000.0
Mushkin Vortex Redline,5.0,85.99,1 TB,0.086,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,1.024,1000.0
Verbatim Vi3000,,67.31,1 TB,0.067,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Seagate FireCuda 530,5.0,89.95,500 GB,0.18,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
Corsair MP700 PRO w/Heatsink,,174.99,1 TB,0.175,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,1000.0
Western Digital Blue,5.0,,4 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,4000.0
Western Digital Blue,4.5,46.0,250 GB,0.184,SSD,,M.2-2280,M.2 SATA,,250.0
FanXiang S500 Pro,,109.69,2 TB,0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Samsung 850 Evo,4.5,254.99,2 TB,0.127,SSD,,"2.5""",SATA 6.0 Gb/s,,2000.0
Western Digital Black,4.0,62.99,1 TB,0.063,7200 RPM,32 MB,"2.5""",SATA 6.0 Gb/s,0.032,1000.0
Western Digital PC SN730,5.0,69.98,256 GB,0.273,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
Lexar Professional NM1090 PRO,,242.49,2 TB,0.121,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,2000.0
SanDisk Extreme,,49.99,500 GB,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
Toshiba X300 Pro,5.0,364.99,18 TB,0.02,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,18000.0
Western Digital Gold,5.0,289.99,12 TB,0.024,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,12000.0
Lexar NM610PRO,,,500 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,500.0
Western Digital Red,5.0,349.45,10 TB,0.035,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,10000.0
Western Digital Purple,,249.0,8 TB,0.031,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,8000.0
Seagate BarraCuda 510,5.0,139.99,1 TB,0.14,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Seagate BarraCuda,3.5,29.11,250 GB,0.116,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,0.008,250.0
SanDisk Ultra II,4.5,199.99,480 GB,0.417,SSD,,"2.5""",SATA 6.0 Gb/s,,480.0
Western Digital SN520,4.0,,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X2,,512.0
Lexar NM1090 w/ Heatsink,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,1000.0
Western Digital Red SN700,5.0,209.99,2 TB,0.105,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Hitachi Ultrastar He12,,255.0,12 TB,0.021,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,12000.0
Micron 3400,5.0,129.99,1 TB,0.13,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
TEAMGROUP QX,,,15.3 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,15300.0
MSI SPATIUM M482,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Western Digital Red SN700,,77.98,500 GB,0.156,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,500.0
KingSpec NXM,,55.99,1 TB,0.056,SSD,,M.2-2242,M.2 PCIe 3.0 X4,,1000.0
