title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,cache_gb,capacity_gb
Samsung 850 Evo,4.5,,500 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,500.0
Silicon Power A55,4.5,32.95,512 GB,0.064,SSD,,"2.5""",SATA 6.0 Gb/s,,512.0
Western Digital Red Plus,,199.99,10 TB,0.02,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,10000.0
KingSpec P3,3.5,49.99,1 TB,0.05,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Corsair MP700 PRO SE,,549.99,4 TB,0.137,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,4000.0
Kingston NV3,,244.7,4 TB,0.061,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4000.0
Timetec 35TTQNM2SATA,,48.99,1 TB,0.049,SSD,,M.2-2280,M.2 SATA,,1000.0
ADATA XPG GAMMIX S70 Blade,4.5,79.98,1 TB,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
PNY CS2150,5.0,94.99,1 TB,0.095,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,1000.0
Seagate Exos X20,,339.0,20 TB,0.017,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,20000.0
Western Digital Black SN750,4.5,102.99,1 TB,0.103,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Kingston KC3000,,299.75,4.096 TB,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4096.0
ADATA XPG GAMMIX S70 Blade,4.5,129.99,2 TB,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Lexar NQ790,5.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Lexar NM710,5.0,149.0,2 TB,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Seagate BarraCuda,4.5,75.37,3 TB,0.025,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,3000.0
Corsair MP600 ELITE,5.0,149.99,2 TB,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Western Digital Blue,4.5,66.98,500 GB,0.134,SSD,,"2.5""",SATA 6.0 Gb/s,,500.0
Kingston KC3000,5.0,64.89,512 GB,0.127,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,512.0
Silicon Power A55,4.5,89.99,2 TB,0.045,SSD,,"2.5""",SATA 6.0 Gb/s,,2000.0
Western Digital WD Blue SN5000,,124.5,2 TB,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Toshiba HDKBB96,5.0,29.95,1 TB,0.03,5400 RPM,8 MB,"2.5""",SATA 6.0 Gb/s,0.008,1000.0
KIOXIA EXCERIA G2,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Silicon Power UD85,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Seagate IronWolf Pro NAS,,229.99,12 TB,0.019,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,12000.0
Inland Performance Plus,5.0,134.99,2 TB,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Klevv CRAS C910,,35.99,500 GB,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
MSI SPATIUM M480 PRO,,84.99,1 TB,0.085,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,1.024,1000.0
Patriot P210,,17.98,256 GB,0.07,SSD,,"2.5""",SATA 6.0 Gb/s,,256.0
Crucial P3,4.5,299.95,4 TB,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,4000.0
KingSpec NX-2280,,99.99,2 TB,0.05,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
TEAMGROUP MP44,5.0,242.99,4 TB,0.061,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4000.0
TEAMGROUP T-FORCE G70 PRO Graphene,,125.99,2 TB,0.063,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Samsung 980 Pro,4.5,,500 GB,,SSD,512 MB,M.2-2280,M.2 PCIe 4.0 X4,0.512,500.0
Samsung 9100 PRO w/Heatsink,,289.99,2 TB,0.145,SSD,2048 MB,M.2-2280,M.2 PCIe 5.0 X4,2.048,2000.0
Patriot P210,5.0,94.99,2 TB,0.047,SSD,,"2.5""",SATA 6.0 Gb/s,,2000.0
TEAMGROUP T-Force Vulcan Z,5.0,97.99,2 TB,0.049,SSD,,"2.5""",SATA 6.0 Gb/s,,2000.0
