title,rating,price,cpu_socket,form_factor,max_memory,memory_slots,color
Asus TUF GAMING B650M-E WIFI,4.0,$139.99,AM5,Micro ATX,192 GB,4,Black
Gigabyte B650 AORUS ELITE AX,4.5,$199.99,AM5,ATX,192 GB,4,Black / Silver
Asus TUF GAMING B550-PLUS WIFI II,4.0,$149.99,AM4,ATX,128 GB,4,Black / Gray
MSI MPG X870E CARBON WIFI,3.5,$597.79,AM5,ATX,256 GB,4,Black
ASRock X870 Pro RS,5.0,$189.99,AM5,ATX,256 GB,4,White
Gigabyte Z790 EAGLE AX,4.5,$174.99,LGA1700,ATX,192 GB,4,Gray / Black
MSI A520M-A PRO,4.0,$80.14,AM4,Micro ATX,64 GB,2,Black
ASRock B450M/ac R2.0,4.5,Out of stock$74.99,AM4,Micro ATX,128 GB,4,Black / Silver
ASRock B760M-HDV/M.2,4.0,$119.51,LGA1700,Micro ATX,96 GB,2,White / Black
Gigabyte B550 EAGLE WIFI6,3.0,$119.99,AM4,ATX,128 GB,4,Black
MSI PRO B650M-A WIFI,4.0,$156.99,AM5,Micro ATX,192 GB,4,Black
Asus ROG STRIX B850-A GAMING WIFI,5.0,$259.99,AM5,ATX,192 GB,4,White
Asus TUF GAMING Z790-PLUS WIFI,4.5,$186.97,LGA1700,ATX,192 GB,4,Black / Gray
MSI MPG B550 GAMING PLUS,4.5,$170.99,AM4,ATX,128 GB,4,Black
ASRock X870 Pro RS WiFi,4.5,$203.99,AM5,ATX,256 GB,4,White
MSI MEG X870E GODLIKE,None,$1282.72,AM5,EATX,256 GB,4,Black
ASRock B850M-X WiFi,5.0,Out of stock$124.99,AM5,Micro ATX,128 GB,2,Black / White
Asus Z790-AYW WIFI W,None,$149.99,LGA1700,ATX,192 GB,4,White
ASRock B450M PRO4 R2.0,4.0,$119.75,AM4,Micro ATX,128 GB,4,Gray / Black
Gigabyte B550 GAMING X V2,4.5,$129.99,AM4,ATX,128 GB,4,Black
Asus ROG STRIX B650E-I GAMING WIFI,4.0,$219.99,AM5,Mini ITX,96 GB,2,Black
Gigabyte X870 GAMING WIFI6,5.0,$193.99,AM5,ATX,256 GB,4,Black / Gray
ASRock B650M Pro RS,4.5,$129.99,AM5,Micro ATX,256 GB,4,Black / Silver
ASRock X870E Taichi,5.0,$474.83,AM5,EATX,256 GB,4,Black
MSI PRO B760-P WIFI DDR4,4.5,$155.19,LGA1700,ATX,128 GB,4,Black
ASRock B550M Pro4,4.5,$109.99,AM4,Micro ATX,128 GB,4,Silver / Black
Gigabyte B850M AORUS ELITE WIFI6E ICE,4.0,$199.99,AM5,Micro ATX,256 GB,4,White / Silver
Asus ProArt X870E-CREATOR WIFI,4.5,$535.00,AM5,ATX,256 GB,4,Black / Gold
Gigabyte X870E AORUS XTREME AI TOP,4.0,$799.99,AM5,EATX,256 GB,4,Black
ASRock Z790 Lightning WiFi,4.5,$159.99,LGA1700,ATX,256 GB,4,Silver / Black
Asus TUF GAMING A520M-PLUS WIFI,4.0,$99.99,AM4,Micro ATX,128 GB,4,Black / Orange
Asus Prime B450M-A II,4.0,$130.00,AM4,Micro ATX,128 GB,4,None
Gigabyte B650 AORUS ELITE AX ICE,4.5,$199.72,AM5,ATX,192 GB,4,Silver
MSI MAG B550 TOMAHAWK,4.5,$139.99,AM4,ATX,128 GB,4,Black / Silver
ASRock Phantom Gaming X870E Nova WiFi,4.5,$349.95,AM5,ATX,256 GB,4,Black / Purple
MSI PRO Z790-S WIFI,4.0,$157.99,LGA1700,ATX,192 GB,4,Black
Gigabyte B850 GAMING WIFI6,None,$179.99,AM5,ATX,256 GB,4,Black / Gray
MSI B650M GAMING PLUS WIFI,4.5,None,AM5,Micro ATX,192 GB,4,Silver / Black
MSI B850 GAMING PLUS WIFI,4.0,$249.99,AM5,ATX,256 GB,4,Silver / Black
Gigabyte X870 AORUS ELITE WIFI7,4.5,$299.99,AM5,ATX,256 GB,4,Black
Gigabyte Z790 S WIFI DDR4 (rev. 1.0),None,$119.99,LGA1700,ATX,128 GB,4,Black
MSI X670E GAMING PLUS WIFI,4.0,$229.99,AM5,ATX,192 GB,4,Silver / Black
Gigabyte A620I AX,4.0,$149.99,AM5,Mini ITX,96 GB,2,Black / Gray
Asus PRIME B650M-A AX II,4.0,$169.99,AM5,Micro ATX,192 GB,4,Black / Silver
ASRock B550M-HDV,4.0,$74.98,AM4,Micro ATX,64 GB,2,Black
ASRock B850M Steel Legend WiFi,5.0,$179.99,AM5,Micro ATX,256 GB,4,Silver / Black
MSI MAG Z790 TOMAHAWK WIFI,4.5,$229.99,LGA1700,ATX,192 GB,4,Black
Gigabyte A520M DS3H V2,4.5,$111.82,AM4,Micro ATX,128 GB,4,Gray / Brown
Asus ROG STRIX B850-F GAMING WIFI,None,$281.99,AM5,ATX,192 GB,4,Black
ASRock B650M-HDV/M.2,4.5,$137.68,AM5,Micro ATX,96 GB,2,Silver / Black
MSI PRO B850-P WIFI,5.0,$179.99,AM5,ATX,256 GB,4,Silver / Black
Gigabyte B550 AORUS ELITE AX V2,4.5,$161.65,AM4,ATX,128 GB,4,Black / Silver
Gigabyte B650 AORUS ELITE AX V2,4.0,$209.99,AM5,ATX,192 GB,4,Black / Silver
Asus PRIME B760M-A AX,4.0,$139.99,LGA1700,Micro ATX,128 GB,4,Silver / Black
Gigabyte B850I AORUS PRO,5.0,$259.99,AM5,Mini ITX,128 GB,2,None
Gigabyte B850M GAMING X WIFI6E,None,$179.99,AM5,Micro ATX,256 GB,4,Black
ASRock B660M Pro RS,4.0,$109.99,LGA1700,Micro ATX,128 GB,4,Gray / Black
Gigabyte B550M DS3H AC,4.0,$129.99,AM4,Micro ATX,128 GB,4,Black
Gigabyte B550I AORUS PRO AX,4.0,$189.99,AM4,Mini ITX,64 GB,2,Black / Silver
Asus ROG STRIX B550-A GAMING,4.5,$224.48,AM4,ATX,128 GB,4,Black / White
MSI MAG Z890 TOMAHAWK WIFI,4.5,$359.99,LGA1851,ATX,256 GB,4,Black / Yellow
MSI PRO Z790-P WIFI,4.5,$204.20,LGA1700,ATX,192 GB,4,Black / Silver
Gigabyte X870E AORUS PRO,4.5,$354.99,AM5,ATX,256 GB,4,Black
MSI MPG B650I EDGE WIFI,3.5,$294.99,AM5,Mini ITX,128 GB,2,Black / Silver
MSI MPG X870E EDGE TI WIFI,4.5,$327.75,AM5,ATX,256 GB,4,Silver / White
Asus ROG STRIX X870-I GAMING WIFI,3.5,$441.99,AM5,Mini ITX,96 GB,2,Black
MSI B760M GAMING PLUS WIFI,4.5,None,LGA1700,Micro ATX,192 GB,4,Black / Silver
Gigabyte B650E AORUS ELITE X AX ICE,4.0,$219.99,AM5,ATX,192 GB,4,Silver / White
