title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface
Leven JS600,None,$179.99,4 TB,$0.045,SSD,None,"2.5""",SATA 6.0 Gb/s
Integral M2,None,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Seagate ST1000DX001,4.5,$80.00,1 TB,$0.080,Hybrid,64 MB,"3.5""",SATA 6.0 Gb/s
Toshiba MQ01ABD-V,None,$35.50,1 TB,$0.035,5400 RPM,None,"2.5""",SATA 6.0 Gb/s
Western Digital Red SA500,None,$109.99,1 TB,$0.110,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate Barracuda Compute,4.0,$65.68,1 TB,$0.066,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
HP FX700,None,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Toshiba MG09 512e,None,$325.00,18 TB,$0.018,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
Western Digital Blue Mobile,3.5,$74.99,2 TB,$0.037,5400 RPM,128 MB,"2.5""",SATA 6.0 Gb/s
Western Digital Red SN700,4.0,$351.52,4 TB,$0.088,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf NAS,4.5,$165.00,4 TB,$0.041,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Intenso Top Performance,4.0,$32.72,256 GB,$0.128,SSD,None,M.2-2280,M.2 SATA
Seagate IronWolf Pro,5.0,$299.00,8 TB,$0.037,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
ADATA XPG SX8200 Pro,4.5,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro,3.0,None,20 TB,None,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Samsung PM961,5.0,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Lenovo S4520,None,None,3.84 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Lexar NQ100,None,$57.99,960 GB,$0.060,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Red SN700,5.0,$112.54,1 TB,$0.113,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Lexar NS100,4.0,$102.99,2 TB,$0.051,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate IronWolf Pro,4.0,$234.45,6 TB,$0.039,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Western Digital Gold,5.0,$266.00,10 TB,$0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Western Digital WD_BLACK,4.5,$249.00,6 TB,$0.042,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
ADATA Legend 800,5.0,None,500 GB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,5.0,$84.99,4 TB,$0.021,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Gigabyte 4000E,None,None,500 GB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Patriot Burst Elite,None,$51.99,960 GB,$0.054,SSD,None,"2.5""",SATA 6.0 Gb/s
Hitachi Ultrastar SN260,None,$323.00,1.6 TB,$0.202,SSD,None,PCIe,PCIe x8
Western Digital Blue,4.5,$64.99,2 TB,$0.032,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Lexar NQ710,None,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
SK Hynix Gold S31 500,4.5,None,500 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Green SN350,2.5,None,240 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Vulcan Z,4.0,Out of stock$185.99,4 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
TEAMGROUP CX2,None,$21.99,256 GB,$0.086,SSD,None,"2.5""",SATA 6.0 Gb/s
Kingston KC600,None,$183.79,2.048 TB,$0.090,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Red Plus,5.0,$147.00,4 TB,$0.037,5400 RPM,128 MB,"3.5""",SATA 6.0 Gb/s
Kingston Q500,4.0,$68.98,960 GB,$0.072,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate FireCuda,5.0,None,4 TB,None,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Western Digital Caviar Black,4.5,None,1 TB,None,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Klevv CRAS C710,None,None,512 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force GE PRO AirFlow,None,$399.99,4 TB,$0.100,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Seagate ST3000VM002,5.0,None,3 TB,None,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Samsung 850 Pro,4.5,$209.99,1 TB,$0.210,SSD,None,"2.5""",SATA 6.0 Gb/s
Toshiba P300,4.5,$198.98,3 TB,$0.066,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Seagate IronWolf NAS,5.0,$249.99,14 TB,$0.018,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
TEAMGROUP Cardea A440,4.5,$79.98,1 TB,$0.080,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Orico J-10,None,$99.99,2 TB,$0.050,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Inland Platinum,5.0,$109.99,2 TB,$0.055,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate EE25.2,None,$22.00,40 GB,$0.550,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s
Western Digital Blue SN570,4.5,$39.99,250 GB,$0.160,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Verbatim Vi550,None,$17.98,128 GB,$0.140,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Blue,5.0,$89.99,1 TB,$0.090,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Blue,4.5,$34.99,500 GB,$0.070,7200 RPM,32 MB,"3.5""",SATA 6.0 Gb/s
SK Hynix Gold S31 1000,4.5,None,1 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Red Plus,None,$89.99,3 TB,$0.030,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Lexar NM790 w/Heatsink,None,$129.49,2 TB,$0.065,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Klevv CRAS C715,None,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,4.0,$89.99,3 TB,$0.030,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,None,$298.99,14 TB,$0.021,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Orico Y-20,None,$52.24,1 TB,$0.052,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate EXOS Enterprise,4.5,None,16 TB,None,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
HP EX900,4.0,$42.99,500 GB,$0.086,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
PNY CS1031,None,None,256 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Samsung 960 Pro,5.0,$399.99,1 TB,$0.400,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4
Samsung 860 Evo,4.5,$106.17,250 GB,$0.425,SSD,512 MB,M.2-2280,M.2 SATA
Western Digital Red Plus,5.0,$260.00,8 TB,$0.033,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
PNY CS2140,5.0,$124.44,1 TB,$0.124,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black PCIe,4.5,$302.12,256 GB,$1.180,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Lexar Professional NM800PRO w/Heatsink,4.0,$84.99,1 TB,$0.085,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Gigabyte AORUS Gen4 5000E,None,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda 520,5.0,$359.24,2 TB,$0.180,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG GAMMIX S70 Blade,None,$76.68,512 GB,$0.150,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Patriot P220,None,$54.99,1 TB,$0.055,SSD,None,"2.5""",SATA 6.0 Gb/s
ADATA XPG SX6000 Pro,5.0,$54.99,512 GB,$0.107,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte GP-GSTFS31100TNTD,None,$84.24,1 TB,$0.084,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Caviar Green,4.0,None,500 GB,None,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Western Digital Red,4.5,$119.99,3 TB,$0.040,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Intel DC S3610,None,$332.00,1.6 TB,$0.207,SSD,None,"2.5""",SATA 6.0 Gb/s
Intel Optane P1600X,5.0,None,118 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM610PRO,None,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue Mobile,4.5,$49.63,1 TB,$0.050,5400 RPM,128 MB,"2.5""",SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,None,$269.99,10 TB,$0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Micron 7400 PRO,None,Out of stock$749.99,3.84 TB,None,SSD,None,M.2-22110,M.2 PCIe 4.0 X4
Sabrent Rocket Q,4.5,$415.26,2 TB,$0.208,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Lexar NS100,None,$20.98,128 GB,$0.164,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital PC SN730,None,$149.99,1 TB,$0.150,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 PRO LPX,None,$369.99,4 TB,$0.092,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
ADATA Ultimate SU650,None,$39.88,480 GB,$0.083,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate IronWolf Pro,None,None,18 TB,None,7200 RPM,None,"3.5""",SATA 6.0 Gb/s
Corsair Force MP500,4.5,None,120 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Inland Premium,4.5,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Seagate Enterprise,None,$209.80,6 TB,$0.035,7200 RPM,128 MB,"3.5""",SAS 12.0 Gb/s
Western Digital Red Pro,None,$449.00,22 TB,$0.020,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
Mushkin Vortex Redline,None,$169.99,2 TB,$0.085,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4
Integral V Series 2,None,None,1 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Mushkin Helix-L,4.5,Out of stock$58.99,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Timetec 30TT253X2,None,$50.99,1 TB,$0.051,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate Exos X18,5.0,$322.57,12 TB,$0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Western Digital Red,4.5,$254.99,8 TB,$0.032,5400 RPM,128 MB,"3.5""",SATA 6.0 Gb/s
Intel D3-S4510,None,$1295.00,7.68 TB,$0.169,SSD,None,"2.5""",SATA 6.0 Gb/s
Apacer AS350 PANTHER,None,None,1 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Kingston SSDNow V200,3.5,$79.98,128 GB,$0.625,SSD,None,"2.5""",SATA 6.0 Gb/s
ADATA SU800,4.5,None,128 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Corsair MP510,4.5,None,960 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M371,None,None,500 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Seagate SkyHawk AI,None,$234.99,14 TB,$0.017,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Seagate FireCuda 530,5.0,None,4 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM710,5.0,$69.98,500 GB,$0.140,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 ELITE PS5,None,$89.99,1 TB,$0.090,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Create Classic C47,None,$74.98,1 TB,$0.075,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Green,4.0,$90.00,1 TB,$0.090,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Black,4.5,$199.95,512 GB,$0.391,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red,4.5,None,4 TB,None,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
FanXiang S101,None,$219.98,4 TB,$0.055,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate EXOS Enterprise,None,$122.88,4 TB,$0.031,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Inland Professional,4.5,$22.99,240 GB,$0.096,SSD,None,"2.5""",SATA 6.0 Gb/s
Sabrent Rocket Q4,4.5,$137.84,1 TB,$0.138,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP510,4.5,$79.48,480 GB,$0.166,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Seagate Pipeline HD,3.5,None,500 GB,None,5900 RPM,8 MB,"3.5""",SATA 3.0 Gb/s
PNY CS900,4.0,None,240 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
ADATA Ultimate SU750,4.0,$49.00,512 GB,$0.096,SSD,None,"2.5""",SATA 6.0 Gb/s
Crucial P2,4.5,None,250 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Crucial MX500,4.5,$79.98,500 GB,$0.160,SSD,None,M.2-2280,M.2 SATA
Seagate BarraCuda 120,5.0,None,1 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Samsung Spinpoint M8,4.0,$31.99,1 TB,$0.032,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s
MSI SPATIUM S270,None,$34.97,480 GB,$0.073,SSD,None,"2.5""",SATA 6.0 Gb/s
Inland Professional,4.5,$59.99,1 TB,$0.060,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Blue,4.5,$220.00,2 TB,$0.110,SSD,None,M.2-2280,M.2 SATA
Sabrent Rocket,5.0,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Kingston A400,4.0,None,240 GB,None,SSD,None,M.2-2280,M.2 SATA
Kingston Predator,None,None,480 GB,None,SSD,None,PCIe,PCIe x4
Crucial MX300,4.5,$159.99,275 GB,$0.582,SSD,None,"2.5""",SATA 6.0 Gb/s
MSI SPATIUM M450,5.0,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Acer FA200,1.0,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
KingSpec XG7000 PRO,None,$118.99,2 TB,$0.059,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Kingston FURY Renegade G5,None,$203.99,1.024 TB,$0.199,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Blue,4.5,$67.73,3 TB,$0.023,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Netac NV7000,None,$172.99,2 TB,$0.086,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,4.0,$62.25,1 TB,$0.062,5400 RPM,16 MB,"2.5""",SATA 6.0 Gb/s
Western Digital Blue SN500,4.5,None,500 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X2
FanXiang S101,2.0,$33.99,512 GB,$0.066,SSD,None,"2.5""",SATA 6.0 Gb/s
KingSpec NE-2280,5.0,None,512 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG GAMMIX S60 Blade,None,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Toshiba N300,None,$328.99,18 TB,$0.018,7200 RPM,None,"3.5""",SATA 6.0 Gb/s
Western Digital WDBSLA0040HNC-NRSN,4.5,$109.00,4 TB,$0.027,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Integral M3 Series Plus,None,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Gold,None,$419.99,20 TB,$0.021,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
Toshiba HDKCC00,2.5,$24.00,500 GB,$0.048,7200 RPM,16 MB,"2.5""",SATA 6.0 Gb/s
TEAMGROUP Cardea Zero Z440 Graphene,5.0,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 860 Pro,5.0,$283.35,1 TB,$0.283,SSD,1024 MB,"2.5""",SATA 6.0 Gb/s
Corsair MP400,4.5,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black AN1500,None,None,1 TB,None,SSD,None,PCIe,PCIe x8
Seagate IronWolf NAS,4.5,$183.50,6 TB,$0.031,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Western Digital Red,5.0,$467.98,14 TB,$0.033,5400 RPM,None,"3.5""",SATA 6.0 Gb/s
GOODRAM CL100 gen.3,None,None,480 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
TEAMGROUP MP34,4.5,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Lexar NQ710,None,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Kingston Fury Renegade with Heat Sink,None,$73.98,500 GB,$0.148,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Intenso High Performance,5.0,$63.72,960 GB,$0.066,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Green,4.5,$47.00,120 GB,$0.392,SSD,None,M.2-2280,M.2 SATA
Western Digital WD_BLACK SN850P for PS5,5.0,$199.99,2 TB,$0.100,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Toshiba XG5,3.0,None,256 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Toshiba P300,None,$122.53,4 TB,$0.031,5400 RPM,128 MB,"3.5""",SATA 6.0 Gb/s
Seagate Exos X18,None,$280.99,10 TB,$0.028,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Mushkin Vortex Redline,5.0,$85.99,1 TB,$0.086,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4
Verbatim Vi3000,None,$67.31,1 TB,$0.067,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Seagate FireCuda 530,5.0,$89.95,500 GB,$0.180,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP700 PRO w/Heatsink,None,$174.99,1 TB,$0.175,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Blue,5.0,None,4 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Blue,4.5,$46.00,250 GB,$0.184,SSD,None,M.2-2280,M.2 SATA
FanXiang S500 Pro,None,$109.69,2 TB,$0.055,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Samsung 850 Evo,4.5,$254.99,2 TB,$0.127,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Black,4.0,$62.99,1 TB,$0.063,7200 RPM,32 MB,"2.5""",SATA 6.0 Gb/s
Western Digital PC SN730,5.0,$69.98,256 GB,$0.273,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Lexar Professional NM1090 PRO,None,$242.49,2 TB,$0.121,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
SanDisk Extreme,None,$49.99,500 GB,$0.100,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Toshiba X300 Pro,5.0,$364.99,18 TB,$0.020,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
Western Digital Gold,5.0,$289.99,12 TB,$0.024,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Lexar NM610PRO,None,None,500 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red,5.0,$349.45,10 TB,$0.035,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Western Digital Purple,None,$249.00,8 TB,$0.031,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Seagate BarraCuda 510,5.0,$139.99,1 TB,$0.140,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,3.5,$29.11,250 GB,$0.116,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s
SanDisk Ultra II,4.5,$199.99,480 GB,$0.417,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital SN520,4.0,None,512 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X2
Lexar NM1090 w/ Heatsink,None,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Red SN700,5.0,$209.99,2 TB,$0.105,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Hitachi Ultrastar He12,None,$255.00,12 TB,$0.021,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Micron 3400,5.0,$129.99,1 TB,$0.130,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP QX,None,None,15.3 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
MSI SPATIUM M482,None,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red SN700,None,$77.98,500 GB,$0.156,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
KingSpec NXM,None,$55.99,1 TB,$0.056,SSD,None,M.2-2242,M.2 PCIe 3.0 X4
Western Digital Red Plus,5.0,$484.75,14 TB,$0.035,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
ADATA Legend 960,1.0,$183.31,2 TB,$0.092,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
HP EX900,4.5,None,250 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red SA500,None,$226.90,2 TB,$0.113,SSD,None,"2.5""",SATA 6.0 Gb/s
Samsung 860 Pro,4.5,$430.00,2 TB,$0.215,SSD,2048 MB,"2.5""",SATA 6.0 Gb/s
Crucial P5 Plus W/Heatsink,5.0,$279.98,2 TB,$0.140,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG GAMMIX S11 Pro,4.5,Out of stock$73.98,512 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Seagate NAS HDD,None,None,8 TB,None,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Lexar NM610,4.5,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 MICRO,None,$174.99,2 TB,$0.087,SSD,None,M.2-2242,M.2 PCIe 4.0 X4
Western Digital Black SN750,5.0,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Mushkin Helix-L,None,$37.99,512 GB,$0.074,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Pro,None,$269.99,10 TB,$0.027,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
Gigabyte GP-GSM2NE3512GNTD,5.0,$143.00,512 GB,$0.279,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,4.0,$35.00,250 GB,$0.140,7200 RPM,16 MB,"3.5""",SATA 6.0 Gb/s
Samsung 860 Pro,4.5,$235.00,256 GB,$0.918,SSD,512 MB,"2.5""",SATA 6.0 Gb/s
Seagate Barracuda Green,5.0,$94.85,2 TB,$0.047,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Western Digital Green,4.0,None,2 TB,None,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Seagate FireCuda 530 w/Heatsink,None,$534.99,4 TB,$0.134,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 840 Pro,4.5,None,512 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Samsung SM951,4.5,None,128 GB,None,SSD,256 MB,M.2-2280,M.2 PCIe 3.0 X4
Lexar NQ780,None,$62.49,1 TB,$0.062,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos X20,5.0,$467.50,18 TB,$0.026,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
MSI SPATIUM S270,None,$39.00,240 GB,$0.163,SSD,None,"2.5""",SATA 6.0 Gb/s
TEAMGROUP T-Create Classic C47,None,$259.99,4 TB,$0.065,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
KingSpec NXM,None,$35.99,512 GB,$0.070,SSD,None,M.2-2242,M.2 PCIe 3.0 X4
Western Digital WD_BLACK,4.5,$46.99,500 GB,$0.094,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Patriot P320,None,$18.98,128 GB,$0.148,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Solidigm P41 Plus,4.0,$82.31,500 GB,$0.165,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
ADATA LEGEND 860,None,$53.89,500 GB,$0.108,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Inland TN320,None,$29.99,256 GB,$0.117,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Hitachi 7K1000.C,4.0,$87.76,1 TB,$0.088,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Hitachi Ultrastar He10,5.0,$286.06,10 TB,$0.029,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Kingston SSDNow S100,None,None,16 GB,None,SSD,None,"2.5""",SATA 3.0 Gb/s
Lexar PLAY,None,$658.84,8 TB,$0.082,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Timetec 30TTQNS3SATA-1TB,None,$50.99,1 TB,$0.051,SSD,None,"2.5""",SATA 6.0 Gb/s
Verbatim Vi3000,None,$112.17,512 GB,$0.219,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,None,Out of stock$34.99,500 GB,None,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Samsung MZ-75E4T0B,5.0,$599.99,4 TB,$0.150,SSD,4096 MB,"2.5""",SATA 6.0 Gb/s
Samsung Spinpoint F3,4.5,None,1 TB,None,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
AMD RADEON-R7SSD-480G,None,None,480 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Silicon Power A58,None,None,1 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Black AN1500,None,None,2 TB,None,SSD,None,PCIe,PCIe x8
MSI SPATIUM S270,None,None,960 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Purple,5.0,$92.01,4 TB,$0.023,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Intenso High Performance,None,$39.36,480 GB,$0.082,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Purple,4.0,$59.99,1 TB,$0.060,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Seagate Nytro Enterprise,None,$999.95,1.92 TB,$0.521,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate EE25.2,4.0,None,40 GB,None,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s
Seagate Surveillance HDD,None,None,3 TB,None,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Apacer AS350 PANTHER,None,None,512 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Orico D10,None,$119.99,2 TB,$0.060,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Seagate Constellation ES.3,5.0,None,4 TB,None,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s
